ID,Category,Name,Coordinates,rating,user_ratings_total
59,Hawker Centre,Mei Chin Road Blk 159 (Mei Chin Road Market),"103.802903901116,1.29323622090658,0.0",4,1819
60,Hawker Centre,New Market Road Blk 32 (People's Park Food Centre),"103.842578750107,1.28499102169498,0.0",4.1,1217
61,Hawker Centre,New Upper Changi Road Blk 208B,"103.93056047823,1.32473884451035,0.0",3.9,123
62,Hawker Centre,New Upper Changi Road Blk 58,"103.941132372619,1.32418782817919,0.0",4.2,197
63,Hawker Centre,Newton Food Centre,"103.839562687644,1.31189235691653,0.0",4.2,10350
64,Hawker Centre,North Bridge Road Market,"103.863891012338,1.30576537802761,0.0",4,1355
65,Hawker Centre,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),"103.885833217727,1.30825156309798,0.0",4.3,9409
66,Hawker Centre,Our Tampines Hub,"103.939726160039,1.35386211773287,0.0",4.5,7776
67,Hawker Centre,Pasir Panjang Food Centre,"103.791402660553,1.27590752450201,0.0",4,2606
68,Hawker Centre,Pasir Ris Central Hawker Centre,"103.951543034782,1.37343413973246,0.0",4.1,1246
69,Hawker Centre,Queen Street Blk 270 (Albert Centre),"103.854211645499,1.30100146521405,0.0",4.1,4480
70,Hawker Centre,Adam Road Food Centre,"103.814165010384,1.32413422253318,0.0",4.1,6122
71,Hawker Centre,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),"103.88701902611,1.32064829234987,0.0",3.9,1642
72,Hawker Centre,Amoy Street Food Centre (Telok Ayer Food Centre),"103.846606784092,1.27921844263269,0.0",4.3,2483
73,Hawker Centre,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),"103.839231344066,1.36678764523637,0.0",3.9,1068
74,Hawker Centre,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),"103.848254220438,1.36410517096399,0.0",3.9,982
75,Hawker Centre,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),"103.855369790045,1.36276891777383,0.0",4,347
76,Hawker Centre,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),"103.856351437414,1.36824049310006,0.0",3.9,1494
77,Hawker Centre,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),"103.854482811591,1.37276992816898,0.0",4,2042
78,Hawker Centre,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),"103.839214290038,1.37448912101909,0.0",4,954
79,Hawker Centre,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),"103.840682307297,1.38102486670548,0.0",4.1,2737
80,Hawker Centre,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),"103.846519219268,1.37219743270045,0.0",4.1,235
81,Hawker Centre,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),"103.839953165936,1.36723014879667,0.0",3.9,1068
82,Hawker Centre,Bedok Food Centre,"103.955474150677,1.32035600765426,0.0",4.2,3120
83,Hawker Centre,Bedok North Street 1 Blk 216,"103.933221544751,1.32706240888967,0.0",4.2,1905
84,Hawker Centre,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),"103.930602144469,1.33324627868937,0.0",4.1,2104
85,Hawker Centre,Bedok North Street 3 Blk 538,"103.924844235398,1.33178125123252,0.0",4,1083
86,Hawker Centre,Redhill Lane Blk 79 (Redhill Market),"103.818402623449,1.2878581025663,0.0",4.1,2767
87,Hawker Centre,Bukit Timah Market,"103.775995008012,1.33937596351523,0.0",4.1,5599
88,Hawker Centre,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),"103.850225081031,1.31615991374589,0.0",4.1,2961
89,Hawker Centre,Changi Village Blk 2 and 3,"103.988245749103,1.38915172065006,0.0",4.2,10980
90,Hawker Centre,Chomp Chomp Food Centre,"103.866536130299,1.36422852315868,0.0",4.2,3762
91,Hawker Centre,Ci Yuan Hawker Centre,"103.882977999397,1.37542896666561,0.0",4.2,1769
92,Hawker Centre,Circuit Road Blk 79/79A,"103.885043500019,1.32644992167231,0.0",3.9,832
93,Hawker Centre,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),"103.887128535137,1.32784956142548,0.0",3.9,832
94,Hawker Centre,Circuit Road Blk 89,"103.885449224256,1.32344525333847,0.0",4.1,432
95,Hawker Centre,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),"103.770836740843,1.31436772839327,0.0",3.9,134
96,Hawker Centre,Clementi Ave 3 Blk 448,"103.764510533078,1.31326486994113,0.0",4.1,2792
97,Hawker Centre,Clementi West Street 2 Blk 726,"103.764264410293,1.3037819726711,0.0",4.1,359
98,Hawker Centre,Commonwealth Crescent Market,"103.800362825517,1.3068922760844,0.0",4,1000
