,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure
46,MARINA BOULEVARD,THE SAIL @ MARINA BAY,CCR,1.288961257942817,103.84451860578956,20769.972235072222,01,99 yrs lease commencing from 2002
47,LOWER DELTA ROAD,TERESA VILLE,RCR,1.2601416770903406,103.8397831542925,11802.233137929643,04,Freehold
48,SOUTH BUONA VISTA ROAD,BAYVILLE CONDOMINIUM,RCR,1.223641816066003,103.84490531772002,11710.406136231155,05,Freehold
49,PASIR PANJANG ROAD,GOLD COAST CONDOMINIUM,RCR,1.2104027319123005,103.85423311184653,11559.363920371257,05,Freehold
50,ANSON ROAD,INTERNATIONAL PLAZA,CCR,1.282156738495418,103.83979197263635,11583.88864281189,02,99 yrs lease commencing from 1970
51,UPPER CROSS STREET,PEOPLE'S PARK CENTRE,RCR,1.280175866490963,103.84947468422432,8544.303797468354,01,99 yrs lease commencing from 1970
52,KEE SENG STREET,ONZE @ TANJONG PAGAR,RCR,1.2784196327502904,103.83863696106049,26425.295519202155,02,Freehold
53,CANTONMENT ROAD,THE BEACON,RCR,1.2767047537020622,103.83965543297695,14300.68492985867,02,99 yrs lease commencing from 2004
54,NORTH BRIDGE ROAD,ONE NORTH BRIDGE,CCR,1.2854908559787677,103.85372700039414,15908.108108108108,06,99 yrs lease commencing from 1969
55,YAN KIT ROAD,THE ARRIS,RCR,1.2778270170664792,103.83928408124171,20285.299582112206,02,Freehold
56,PASIR PANJANG CLOSE,PASIR PANJANG COURT,RCR,1.2084015740792065,103.85600664058285,12373.90558894646,05,Freehold
57,BALMEG HILL,THE PEAK@BALMEG,RCR,1.2196920225342904,103.84619583869423,14474.156412471792,05,Freehold
58,PARK ROAD,PEOPLE'S PARK COMPLEX,RCR,1.2788221533636497,103.84785605191767,10294.108188957538,01,99 yrs lease commencing from 1968
59,PASIR PANJANG ROAD,HARBOUR VIEW GARDENS,RCR,1.2212180469328653,103.84268158564889,18881.764986979062,05,Freehold
60,JALAN PASIR RIA,RIA APARTMENTS,RCR,1.2284330878302259,103.84031956844711,12755.102040816326,05,Freehold
61,STAMFORD ROAD,EDEN RESIDENCES CAPITOL,CCR,1.2873388673268826,103.85665829406703,33664.518507150584,06,99 yrs lease commencing from 2011
62,WEST COAST WALK,THE PARC CONDOMINIUM,OCR,1.198465283555626,103.87443943651657,13856.683969350848,05,Freehold
63,NORMANTON PARK,NORMANTON PARK (DEMOLISHED),RCR,1.229449086562103,103.85113412209463,9030.05753228887,05,102 yrs lease commencing from 1977
64,PASIR PANJANG ROAD,THE SPECTRUM,RCR,1.204342877810903,103.85512928207228,11819.987559890194,05,Freehold
65,OCEAN DRIVE,THE BERTH BY THE COVE,CCR,1.2825780569036966,103.81317389067829,14058.271269503452,04,99 yrs lease commencing from 2004
66,PASIR PANJANG ROAD,PASIR VIEW PARK,RCR,1.2234344058233877,103.84257154633295,13114.883844522647,05,Freehold
67,UPPER CIRCULAR ROAD,RIVERWALK APARTMENTS,RCR,1.2846934305975644,103.85268122177062,15788.416554206027,01,99 yrs lease commencing from 1980
68,YONG SIAK STREET,TIONG BAHRU ESTATE,RCR,1.2664649881925176,103.8462110110468,17430.351906158357,03,Freehold
69,WEST COAST ROAD,THE STELLAR,OCR,1.2036187958888553,103.85747148846,12496.680606547432,05,Freehold
70,PASIR PANJANG ROAD,VILLAGE @ PASIR PANJANG,RCR,1.2058338390634031,103.85455491157602,15140.966499455188,05,Freehold
71,JALAN LEMPENG,THE TRILINQ,OCR,1.196846999325512,103.88213597170663,14324.276584346371,05,99 yrs lease commencing from 2012
72,WEST COAST CRESCENT,WEST BAY CONDOMINIUM,OCR,1.201125349688563,103.86283020632217,9134.881676656023,05,99 yrs lease commencing from 1991
73,BENCOOLEN STREET,THE BENCOOLEN,RCR,1.2896630008562304,103.86527653423265,13937.862831882456,07,99 yrs lease commencing from 1995
74,COMMONWEALTH AVENUE,COMMONWEALTH TOWERS,RCR,1.2425193037395097,103.85911758610189,19012.898418234647,03,99 yrs lease commencing from 2013
75,JIAK KIM STREET,RIVIERE,RCR,1.2714717676997431,103.85538014750024,29147.49022415218,03,99 yrs lease commencing from 2018
76,PRINCE CHARLES CRESCENT,TANGLIN VIEW,RCR,1.253368594057648,103.85574174530139,13666.49559306576,03,99 yrs lease commencing from 1997
77,PASIR PANJANG ROAD,PALM MANSIONS,RCR,1.2119024959307405,103.85257742998238,12181.7791504066,05,Freehold
78,OUTRAM ROAD,RESIDENTIAL APARTMENTS,RCR,1.2715618169636036,103.84718251428514,16071.42857142857,03,Freehold
79,WEST COAST DRIVE,NEWEST,OCR,1.1931372222195005,103.87993226001365,10020.497870735824,05,956 yrs lease commencing from 1928
80,WEST COAST CRESCENT,SEAHILL,OCR,1.199649738010982,103.86257354491998,14717.386608134877,05,99 yrs lease commencing from 2011
81,WEST COAST PARK,THE INFINITI,OCR,1.1910613540467951,103.88251987825716,11736.033576499583,05,Freehold
82,BEACH ROAD,FU YUEN BUILDING,CCR,1.2927253783849844,103.86072528834964,16600.790513833992,07,999 yrs lease commencing from 1827
83,ALEXANDRA ROAD,ALEXIS,RCR,1.2433637728896283,103.85481552041125,16782.979298414855,03,Freehold
84,JERVOIS LANE,CLYDESVIEW,RCR,1.2541862185297505,103.85775525085704,13413.857493057474,03,Freehold
85,KIM TIAN ROAD,REGENCY SUITES,RCR,1.265288614779216,103.84806701296418,18067.320418089872,03,Freehold
86,NEW BRIDGE ROAD,DORSETT RESIDENCES,RCR,1.2765816141461062,103.84379901401257,21549.66103484838,02,99 yrs lease commencing from 2009
87,MIDDLE ROAD,THE M,CCR,1.2922168628144046,103.86161483209548,26755.30392332317,07,99 yrs lease commencing from 2019
88,STIRLING ROAD,STIRLING RESIDENCES,RCR,1.2405645401556287,103.85483152469985,19897.753247091925,03,99 yrs lease commencing from 2017
89,PEPYS ROAD,THE PEAK,RCR,1.2292480251628066,103.84371275805074,12524.461839530333,05,Freehold
90,MARINA WAY,MARINA ONE RESIDENCES,CCR,1.290004397787119,103.84099626798329,26312.834727217913,01,99 yrs lease commencing from 2011
91,ROCHESTER DRIVE,THE ROCHESTER RESIDENCES,RCR,1.2242263894302365,103.86880196755799,14741.320868324154,05,99 yrs lease commencing from 2005
92,SPOTTISWOODE PARK ROAD,SPOTTISWOODE RESIDENCES,RCR,1.2730323186793477,103.83905562474669,21524.46444203608,02,Freehold
93,JALAN LEMPENG,PARK WEST,OCR,1.1963501172445878,103.88133974953045,8512.343202382795,05,99 yrs lease commencing from 1982
94,CLUB STREET,EMERALD GARDEN,RCR,1.2827351446812116,103.84529271436713,18860.207673979898,01,999 yrs lease commencing from 1827
95,WATERLOO STREET,WATERLOO VIEW,RCR,1.2890225923140506,103.86438419999678,10161.61616161616,07,Freehold
96,JALAN SULTAN,TEXTILE CENTRE,RCR,1.2977719222990263,103.86722655500685,9798.628563779435,07,99 yrs lease commencing from 1970
97,PRINCE CHARLES CRESCENT,PRINCIPAL GARDEN,RCR,1.2589459772757883,103.85604918796913,18673.489238895818,03,99 yrs lease commencing from 2014
98,ZEHNDER ROAD,BUONA LODGE,RCR,1.2225982636110997,103.84542990695594,11741.80898165718,05,Freehold
99,JALAN LEMPENG,PARC CLEMATIS,OCR,1.1953181650065745,103.87992092530033,17589.59263544203,05,99 yrs lease commencing from 2019
100,ALEXANDRA VIEW,ASCENTIA SKY,RCR,1.2530717305106938,103.85463432750264,15941.035791659046,03,99 yrs lease commencing from 2008
101,WEST COAST ROAD,CLEMENTIWOODS CONDOMINIUM,OCR,1.2039489105804373,103.86038358727112,11827.421269661647,05,99 yrs lease commencing from 2006
102,PASIR PANJANG ROAD,LOTUS AT PASIR PANJANG,RCR,1.2205888987403353,103.84304635393303,14532.614309220402,05,Freehold
103,COVE DRIVE,MARINA COLLECTION,CCR,1.2760316429807574,103.80818645481308,19234.82671300593,04,99 yrs lease commencing from 2007
104,SILAT AVENUE,AVENUE SOUTH RESIDENCE,RCR,1.2658572426804837,103.84052353153064,22157.919053351987,03,99 yrs lease commencing from 2018
105,PASIR PANJANG ROAD,THE VERANDAH RESIDENCES,RCR,1.2205888987403353,103.84304635393303,19566.777972829106,05,Freehold
106,JALAN MAS PUTEH,RESIDENTIAL APARTMENTS,OCR,1.197390043915038,103.87195332818047,8352.941176470587,05,999 yrs lease commencing from 1968
