ID,Category,Name,coordinates,Pri_Popularity_Score
292,Primary School,TAMPINES PRIMARY SCHOOL,"103.943402379754,1.34994333795888",3.5
143,Primary School,JUNYUAN PRIMARY SCHOOL,"103.939327626661,1.34787050871599",3.5
325,Primary School,WOODLANDS PRIMARY SCHOOL,"103.791791282236,1.43658270720199",3.5
148,Primary School,JURONG WEST PRIMARY SCHOOL,"103.698743607058,1.33971273175894",3.5
6,Primary School,ALEXANDRA PRIMARY SCHOOL,"103.824017403629,1.29116965570463",3.5
140,Primary School,INNOVA PRIMARY SCHOOL,"103.790607539185,1.42896700684852",3.5
134,Primary School,HOUGANG PRIMARY SCHOOL,"103.880900019698,1.37737530954806",3
273,Primary School,ST. ANDREW'S JUNIOR SCHOOL,"103.865117134385,1.33140255308868",3
137,Primary School,HUAMIN PRIMARY SCHOOL,"103.844209671353,1.42695886300879",3
296,Primary School,TANJONG KATONG PRIMARY SCHOOL,"103.899999965407,1.30498489044822",3
70,Primary School,CHUA CHU KANG PRIMARY SCHOOL,"103.741270440945,1.37760828302593",3
79,Primary School,CONCORD PRIMARY SCHOOL,"103.736225440727,1.38000806197242",3
334,Primary School,YANGZHENG PRIMARY SCHOOL,"103.868595527042,1.34864575840923",3
86,Primary School,DE LA SALLE SCHOOL,"103.743123358084,1.39479396035866",3
194,Primary School,NGEE ANN PRIMARY SCHOOL,"103.917570005713,1.30553224180437",3
95,Primary School,ELIAS PARK PRIMARY SCHOOL,"103.945128117139,1.37451269377776",3
315,Primary School,WEST GROVE PRIMARY SCHOOL,"103.698964212988,1.34471211768915",3
299,Primary School,TECK GHEE PRIMARY SCHOOL,"103.851009800453,1.36565018546903",3
77,Primary School,COMPASSVALE PRIMARY SCHOOL,"103.897812229905,1.39444529636566",3
323,Primary School,WOODGROVE PRIMARY SCHOOL,"103.79023031392,1.43273620725049",3
284,Primary School,ST. MARGARET'S PRIMARY SCHOOL,"103.881658715222,1.32436096241691",3
208,Primary School,OPERA ESTATE PRIMARY SCHOOL,"103.923752668632,1.31996876377748",3
161,Primary School,LAKESIDE PRIMARY SCHOOL,"103.718089546664,1.33820397704287",3
155,Primary School,KHENG CHENG SCHOOL,"103.847148501824,1.3373381935639",3
232,Primary School,PUNGGOL PRIMARY SCHOOL,"103.894667159512,1.37820062547641",2.5
251,Primary School,RIVERVALE PRIMARY SCHOOL,"103.904545253288,1.39333506298213",2.5
278,Primary School,ST. GABRIEL'S PRIMARY SCHOOL,"103.862309899986,1.34930766795555",2.5
256,Primary School,SEMBAWANG PRIMARY SCHOOL,"103.821152676215,1.4457453096024",2.5
349,Primary School,ZHANGDE PRIMARY SCHOOL,"103.825951884637,1.28421153855474",2.5
127,Primary School,HAIG GIRLS' SCHOOL,"103.903061519804,1.31173085411355",2.5
58,Primary School,CHIJ OUR LADY OF GOOD COUNSEL,"103.864152052213,1.35799494859112",2.5
237,Primary School,QUEENSTOWN PRIMARY SCHOOL,"103.807648475656,1.29552905587752",2.5
230,Primary School,PUNGGOL COVE PRIMARY SCHOOL,"103.89890448429,1.41158455562454",2.5
99,Primary School,EVERGREEN PRIMARY SCHOOL,"103.794577787757,1.44415332824735",2.5
47,Primary School,CASUARINA PRIMARY SCHOOL,"103.957112275692,1.37310773436801",2.5
45,Primary School,CANOSSA CATHOLIC PRIMARY SCHOOL,"103.881002098815,1.32685351993336",2.5
56,Primary School,CHIJ (KELLOCK),"103.827954007978,1.27474048872023",2.5
350,Primary School,ZHENGHUA PRIMARY SCHOOL,"103.769118494651,1.37972100441473",2.5
112,Primary School,FUHUA PRIMARY SCHOOL,"103.736103745748,1.33650394789627",2.5
197,Primary School,NORTH VIEW PRIMARY SCHOOL,"103.848190787869,1.42752327193727",2.5
116,Primary School,GEYLANG METHODIST SCHOOL (PRIMARY),"103.883902821362,1.31747682664316",2.5
123,Primary School,GREENWOOD PRIMARY SCHOOL,"103.804725587384,1.43989958331782",2.5
74,Primary School,CLEMENTI PRIMARY SCHOOL,"103.762966674996,1.31505731320501",2.5
142,Primary School,JING SHAN PRIMARY SCHOOL,"103.852132214306,1.37223290983498",2
7,Primary School,ANCHOR GREEN PRIMARY SCHOOL,"103.887111138358,1.39054394024591",2
55,Primary School,CHIJ (KATONG) PRIMARY,"103.911104935556,1.30664965374234",2
190,Primary School,NAVAL BASE PRIMARY SCHOOL,"103.838794077233,1.41630663159387",2
212,Primary School,PARK VIEW PRIMARY SCHOOL,"103.9392021807,1.37801687647812",2
179,Primary School,MONTFORT JUNIOR SCHOOL,"103.889741457901,1.37362445234082",2
310,Primary School,VALOUR PRIMARY SCHOOL,"103.899078139493,1.40683570215319",2
333,Primary School,XISHAN PRIMARY SCHOOL,"103.837755319448,1.43347186925064",2
107,Primary School,FERNVALE PRIMARY SCHOOL,"103.874088586824,1.38966308328476",2
330,Primary School,XINGNAN PRIMARY SCHOOL,"103.687950252103,1.34254744877694",2
93,Primary School,EDGEFIELD PRIMARY SCHOOL,"103.907430523653,1.40029783011552",2
211,Primary School,PALM VIEW PRIMARY SCHOOL,"103.891354675017,1.38376923022123",2
60,Primary School,CHIJ OUR LADY QUEEN OF PEACE,"103.767412204602,1.366603668561",2
346,Primary School,YUMIN PRIMARY SCHOOL,"103.950461927088,1.35129177656981",2
96,Primary School,ENDEAVOUR PRIMARY SCHOOL,"103.817174701639,1.45388170417263",2
291,Primary School,TAMPINES NORTH PRIMARY SCHOOL,"103.948768900518,1.36048786025607",2
40,Primary School,BUKIT TIMAH PRIMARY SCHOOL,"103.767243310781,1.33751860013147",2
85,Primary School,DAZHONG PRIMARY SCHOOL,"103.74847210784,1.3591797447277",2
287,Primary School,ST. STEPHEN'S SCHOOL,"103.917372254203,1.31878279235375",2
170,Primary School,MARYMOUNT CONVENT SCHOOL,"103.840021064426,1.34036676987375",1.5
326,Primary School,WOODLANDS RING PRIMARY SCHOOL,"103.797435733144,1.43495229315857",1.5
198,Primary School,NORTH VISTA PRIMARY SCHOOL,"103.895854162476,1.38289339218536",1.5
339,Primary School,YISHUN PRIMARY SCHOOL,"103.834087115915,1.43338602975674",1.5
224,Primary School,PEIYING PRIMARY SCHOOL,"103.830143209875,1.41741627551251",1.5
110,Primary School,FUCHUN PRIMARY SCHOOL,"103.778192944298,1.43047990810126",1.5
141,Primary School,JIEMIN PRIMARY SCHOOL,"103.830425490093,1.42768847665227",1.5
80,Primary School,CORPORATION PRIMARY SCHOOL,"103.707593724342,1.35099779872539",1.5
29,Primary School,BENDEMEER PRIMARY SCHOOL,"103.864715966512,1.3225449659487",1.5
91,Primary School,EAST SPRING PRIMARY SCHOOL,"103.961743139539,1.35277013841942",1.5
