,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
379,CR2,,BLK 3/4 BEACH ROAD,1.30468354 103.8656582,0,C,HDB,1.30468354,103.8656582
380,CR3,,BLK 9 NORTH BRIDGE ROAD,1.305068654 103.8643248,0,C,HDB,1.305068654,103.8643248
381,CR6,,BLK 10 NORTH BRIDGE ROAD,1.305524328 103.8633527,0,C,HDB,1.305524328,103.8633527
382,CR7,,BLK 464/463 CRAWFORD LANE,1.305505881 103.8623393,0,C,HDB,1.305505881,103.8623393
383,CSM,,BLK 54 CHIN SWEE ROAD MSCP,1.287438074 103.8411652,125,C,HDB,1.287438074,103.8411652
384,CV1,,BLK 1/1A TELOK PAKU ROAD,1.388329163 103.988178,158,C,HDB,1.388329163,103.988178
385,CV2,,BLK 3 CHANGI VILLAGE ROAD,1.389902483 103.9879889,1,C,HDB,1.389902483,103.9879889
386,CV3,,BLK 5 CHANGI VILLAGE ROAD,1.389983118 103.9864869,20,C,HDB,1.389983118,103.9864869
387,DRS,,BLK 102A/102B DEPOT ROAD,1.280469756 103.8129928,1284,C,HDB,1.280469756,103.8129928
388,EC2,,BLK 12-25 EUNOS CRESCENT,1.322615728 103.9044421,429,C,HDB,1.322615728,103.9044421
389,EC3,,BLK 5-8/11/4A EUNOS CRESCENT,1.321156734 103.9044758,0,C,HDB,1.321156734,103.9044758
390,EC4,,BLK 1-3/1A EUNOS CRESCENT,1.320516456 103.9026924,45,C,HDB,1.320516456,103.9026924
391,EC7,,BLK 842-848 SIMS AVENUE,1.317783703 103.9016257,24,C,HDB,1.317783703,103.9016257
392,EC8,,BLK 2A EUNOS MRT SIMS AVENUE,1.319226865 103.9032081,129,C,HDB,1.319226865,103.9032081
393,ECM,,BLK 31A EUNOS CRESCENT,1.320029988 103.9016271,271,C,HDB,1.320029988,103.9016271
394,EI3,,BLK 410/411/414-417 EUNOS ROAD 5,1.318846467 103.8983797,98,C,HDB,1.318846467,103.8983797
395,EPL,,BLK 1/7 EVERTON PARK,1.277163553 103.8399127,0,C,HDB,1.277163553,103.8399127
396,EPM,,BLK 6A EVERTON ROAD,1.276184436 103.8389082,119,C,HDB,1.276184436,103.8389082
397,FRM,,BLK 808 FRENCH ROAD MSCP,1.308758633 103.8613647,166,C,HDB,1.308758633,103.8613647
398,GBM,,BLK 60A GEYLANG BAHRU,1.322772391 103.8686337,426,C,HDB,1.322772391,103.8686337
399,GE2,,BLK 120 TO 123 GEYLANG EAST CENTRAL,1.317945422 103.8848394,50,Y,HDB,1.317945422,103.8848394
400,GE2,,BLK 120 TO 123 GEYLANG EAST CENTRAL,1.317945422 103.8848394,94,C,HDB,1.317945422,103.8848394
401,GE2,,BLK 120 TO 123 GEYLANG EAST CENTRAL,1.317945422 103.8848394,50,H,HDB,1.317945422,103.8848394
402,GE3,,BLK 124 TO 128 GEYLANG EAST AVE 1,1.317500992 103.8873633,50,H,HDB,1.317500992,103.8873633
403,GE3,,BLK 124 TO 128 GEYLANG EAST AVE 1,1.317500992 103.8873633,94,Y,HDB,1.317500992,103.8873633
404,GE3,,BLK 124 TO 128 GEYLANG EAST AVE 1,1.317500992 103.8873633,162,C,HDB,1.317500992,103.8873633
405,GE5,,BLK 129-134 GEYLANG EAST AVE 1/2,1.31654978 103.8875653,50,H,HDB,1.31654978,103.8875653
406,GE5,,BLK 129-134 GEYLANG EAST AVE 1/2,1.31654978 103.8875653,29,Y,HDB,1.31654978,103.8875653
407,GE5,,BLK 129-134 GEYLANG EAST AVE 1/2,1.31654978 103.8875653,62,C,HDB,1.31654978,103.8875653
408,GEM,,BLK 118 ALJUNIED AVE 2,1.320036814 103.8876027,182,C,HDB,1.320036814,103.8876027
409,GM2,,BLK 7/8/9 GHIM MOH ROAD,1.311601403 103.7881601,10,C,HDB,1.311601403,103.7881601
410,GM3,,BLK 19/20 GHIM MOH ROAD,1.311155905 103.7888531,0,C,HDB,1.311155905,103.7888531
411,GM5,,BLK 21 GHIM MOH ROAD,1.310381853 103.7885108,44,C,HDB,1.310381853,103.7885108
412,GSM,,BLK 2 GEYLANG SERAI,1.317206714 103.8983401,0,C,HDB,1.317206714,103.8983401
413,H12,,BLK 1/5 DELTA AVE,1.291993773 103.827409,87,Y,HDB,1.291993773,103.827409
