,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
64,H3,,BLK 87 ZION RD,1.291008687 103.8325154,52,Y,HDB,1.291008687,103.8325154
65,H3,,BLK 87 ZION RD,1.291008687 103.8325154,102,C,HDB,1.291008687,103.8325154
66,H4,,BLK 22 HAVELOCK RD,1.288093897 103.8293714,51,C,HDB,1.288093897,103.8293714
67,H6,,BLK 77/79 GANGES AVENUE,1.291369664 103.8289836,106,C,HDB,1.291369664,103.8289836
68,H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,44,Y,HDB,1.287726965,103.8309221
69,H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,0,H,HDB,1.287726965,103.8309221
70,H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,33,C,HDB,1.287726965,103.8309221
71,J1,,BLK 101/107 JURONG EAST ST 13,1.336429723 103.7380983,193,C,HDB,1.336429723,103.7380983
72,J2,,BLK 108/110 JURONG EAST ST 13,1.33860776 103.7367713,108,C,HDB,1.33860776,103.7367713
73,J3,,BLK 111/116 JURONG EAST ST 13,1.339494837 103.7354848,167,C,HDB,1.339494837,103.7354848
74,J4,,BLK 201/206 JURONG EAST ST 21,1.337530169 103.7419026,40,C,HDB,1.337530169,103.7419026
75,J5,,BLK 207/208 JURONG EAST ST 21,1.338314475 103.7424182,137,C,HDB,1.338314475,103.7424182
76,J6,,BLK 209/214 JURONG EAST ST 21,1.3390681 103.7388514,147,C,HDB,1.3390681,103.7388514
77,J7,,BLK 215A/231 JURONG EAST ST 21,1.341543873 103.7380331,443,C,HDB,1.341543873,103.7380331
78,J8,,BLK 232/240 JURONG EAST ST 21,1.340430194 103.741574,153,C,HDB,1.340430194,103.741574
79,J9,,BLK 241/245 JURONG EAST ST 24,1.342122435 103.7420009,60,C,HDB,1.342122435,103.7420009
80,K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,0,H,HDB,1.308736475,103.8823513
81,K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,16,C,HDB,1.308736475,103.8823513
82,K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,34,Y,HDB,1.308736475,103.8823513
83,K7,,BLK 51 OLD AIRPORT ROAD,1.308894519 103.8860169,87,C,HDB,1.308894519,103.8860169
84,L1,,BLK 415-420 LOR LEW LIAN,1.349505832 103.8753546,28,C,HDB,1.349505832,103.8753546
85,M1,,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,65,Y,HDB,1.323074781,103.8864364
86,M1,,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,139,C,HDB,1.323074781,103.8864364
87,M1,,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,50,H,HDB,1.323074781,103.8864364
88,M3,,BLK 19 TO 21/23/24/30/32 BALAM RD,1.330680856 103.8857074,30,C,HDB,1.330680856,103.8857074
89,M4,,BLK 22/34/36 CIRCUIT RD,1.329022794 103.8876597,263,C,HDB,1.329022794,103.8876597
90,P1,,BLK 196 PUNGGOL FIELD,1.399325523 103.907016,194,C,HDB,1.399325523,103.907016
91,P2,,BLK 199 PUNGGOL FIELD,1.400096829 103.9060155,160,C,HDB,1.400096829,103.9060155
92,P3,,BLK 101 PUNGGOL FIELD,1.398456837 103.9057745,438,C,HDB,1.398456837,103.9057745
93,P4,,BLK 105 EDGEFIELD PLAINS,1.397227162 103.9056229,207,C,HDB,1.397227162,103.9056229
94,P5,,BLK 107 PUNGGOL FIELD,1.396877555 103.9076419,301,C,HDB,1.396877555,103.9076419
95,P6,,BLK 109 PUNGGOL FIELD,1.395368569 103.9094623,320,C,HDB,1.395368569,103.9094623
96,P7,,BLK 119 EDGEFIELD PLAINS,1.395427967 103.9064702,416,C,HDB,1.395427967,103.9064702
97,P8,,BLK 126 EDGEDALE PLAINS,1.394228446 103.9109139,249,C,HDB,1.394228446,103.9109139
98,P9,,BLK 128 PUNGGOL FIELD WALK,1.392923918 103.9125375,239,C,HDB,1.392923918,103.9125375
99,Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,44,Y,HDB,1.294206414,103.7995693
100,Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,0,H,HDB,1.294206414,103.7995693
101,Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414 103.7995693,54,C,HDB,1.294206414,103.7995693
102,T1,,BLK 101/108 TAMPINES ST 11,1.347395724 103.9462336,192,C,HDB,1.347395724,103.9462336
103,T3,,BLK 109/114 TAMPINES ST 11,1.346598132 103.9474328,106,C,HDB,1.346598132,103.9474328
104,T4,,BLK 124/127 TAMPINES STREET 11,1.345420018 103.9498142,113,C,HDB,1.345420018,103.9498142
105,T7,,BLK 136/138 TAMPINES ST 11,1.345469697 103.9458054,45,C,HDB,1.345469697,103.9458054
106,T8,,BLK 137/139 TAMPINES ST 11,1.346414231 103.9441901,84,C,HDB,1.346414231,103.9441901
107,T9,,BLK 140/148 TAMPINES STREET 12,1.347816332 103.9436467,282,C,HDB,1.347816332,103.9436467
108,U1,,BLK 101/110 BUKIT BATOK WEST AVE 6,1.348389703 103.7469815,240,C,HDB,1.348389703,103.7469815
109,U2,,BLK 111/132 BUKIT BATOK WEST AVE 6,1.349872484 103.7463093,501,C,HDB,1.349872484,103.7463093
110,U3,,BLK 133/139 BUKIT BATOK WEST AVENUE 6,1.351391957 103.7443516,81,C,HDB,1.351391957,103.7443516
111,U4,,BLK 140/143 BUKIT BATOK STREET 11,1.350653565 103.74322,109,C,HDB,1.350653565,103.74322
112,U5,,BLK 144/149 BUKIT BATOK WEST AVENUE 6,1.350137241 103.7446779,61,C,HDB,1.350137241,103.7446779
113,U6,,BLK 150/158 BUKIT BATOK STREET 11,1.348029518 103.7441035,0,C,HDB,1.348029518,103.7441035
114,U7,,BLK 159/164 BUKIT BATOK STREET 11,1.348707664 103.7420927,126,C,HDB,1.348707664,103.7420927
115,U8,,BLK 165/168 BUKIT BATOK WEST AVENUE 8,1.347161979 103.7418946,52,C,HDB,1.347161979,103.7418946
116,U9,,BLK 169/177 BUKIT BATOK WEST AVENUE 8,1.345845573 103.7411926,153,C,HDB,1.345845573,103.7411926
117,W3,,BLK 4A/6A WOODLANDS CENTRE ROAD,1.4406995 103.7695026,217,C,HDB,1.4406995,103.7695026
118,W4,,BLK 6/7 MARSILING DRIVE,1.442458149 103.7767461,25,C,HDB,1.442458149,103.7767461
119,W5,,BLK 10/13 MARSILING LANE,1.440754097 103.7781943,232,C,HDB,1.440754097,103.7781943
120,W6,,BLK 15/16 MARSILING LANE,1.442102474 103.777954,19,C,HDB,1.442102474,103.777954
121,W7,,BLK 17/21 MARSILING LANE,1.443136124 103.7776083,11,C,HDB,1.443136124,103.7776083
122,Y1,,BLK 101/102 YISHUN AVE 5,1.430844543 103.8280357,3,C,HDB,1.430844543,103.8280357
123,Y2,,BLK 103/111 YISHUN RING ROAD,1.432166554 103.8280589,70,C,HDB,1.432166554,103.8280589
124,Y3,,BLK 112/120 YISHUN RING ROAD,1.434711422 103.8288865,149,C,HDB,1.434711422,103.8288865
125,Y4,,BLK 121/143 YISHUN STREET 11/RING ROAD,1.434754103 103.8315408,397,C,HDB,1.434754103,103.8315408
126,Y5,,BLK 144/149 YISHUN STREET 11,1.431114532 103.8321076,93,C,HDB,1.431114532,103.8321076
127,Y6,,BLK 150/161 YISHUN STREET 11,1.432523042 103.8341941,118,C,HDB,1.432523042,103.8341941
128,Y7,,BLK 701/716 & 701B YISHUN AVENUE 5,1.427301818 103.8274505,298,C,HDB,1.427301818,103.8274505
129,Y8,,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",1.429444919 103.8312781,375,C,HDB,1.429444919,103.8312781
130,Y9,,BLK 747/752 YISHUN STREET 72,1.427830914 103.8340126,126,C,HDB,1.427830914,103.8340126
131,A10,,BLK 201/202 ANG MO KIO STREET 22,1.368632982 103.844524,30,C,HDB,1.368632982,103.844524
132,A11,,BLK 223/226/226A-226D ANG MO KIO ST 22,1.367035534 103.8381811,163,C,HDB,1.367035534,103.8381811
133,A12,,BLK 229/230 ANG MO KIO ST 22,1.368509827 103.8386753,105,C,HDB,1.368509827,103.8386753
134,A13,,BLK 232/233 ANG MO KIO ST 22,1.368000222 103.8368096,75,C,HDB,1.368000222,103.8368096
135,A15,,BLK 226E-226H ANG MO KIO ST 22,1.36696761 103.8404175,23,C,HDB,1.36696761,103.8404175
136,A20,,BLK 304/307/319 ANG MO KIO ST 31,1.364943381 103.8484571,0,C,HDB,1.364943381,103.8484571
137,A21,,BLK 325/326/301 ANG MO KIO STREET 31,1.368127559 103.8463132,354,C,HDB,1.368127559,103.8463132
138,A24,,BLK 338/340 ANG MO KIO ST 32,1.364753412 103.8493977,107,C,HDB,1.364753412,103.8493977
139,A25,,BLK 330/337 ANG MO KIO AVE 8,1.362769307 103.8516275,242,C,HDB,1.362769307,103.8516275
140,A26,,BLK 113/114/118 ANG MO KIO AVE 4,1.372770202 103.8354476,198,C,HDB,1.372770202,103.8354476
141,A27,,BLK 108/109/110 ANG MO KIO ST 11,1.370363052 103.8383207,117,C,HDB,1.370363052,103.8383207
142,A28,,BLK 103/105/107 ANG MO KIO ST 11,1.371649928 103.8374643,35,C,HDB,1.371649928,103.8374643
143,A29,,BLK 347 ANG MO KIO AVENUE 3,1.367361242 103.8487183,239,C,HDB,1.367361242,103.8487183
144,A30,,BLK 129/134 ANG MO KIO STREET 12,1.370989747 103.842419,0,C,HDB,1.370989747,103.842419
145,A31,,BLK 119/128 ANG MO KIO ST 12,1.370451119 103.8436999,80,C,HDB,1.370451119,103.8436999
146,A33,,BLK 253/254 ANG MO KIO STREET 21,1.369886364 103.8345405,0,C,HDB,1.369886364,103.8345405
147,A34,,BLK 422/425 ANG MO KIO ST 42,1.368356473 103.8516674,94,C,HDB,1.368356473,103.8516674
148,A35,,BLK 426/428/435 ANG MO KIO ST 43,1.368646393 103.8540815,321,C,HDB,1.368646393,103.8540815
149,A36,,BLK 436/443/445 ANG MO KIO ST 43,1.366407128 103.8552788,350,C,HDB,1.366407128,103.8552788
150,A37,,BLK 446/449/453 ANG MO KIO ST 43,1.368113068 103.8555566,42,C,HDB,1.368113068,103.8555566
151,A38,,BLK 407/410/421 ANG MO KIO AVE 10,1.363963706 103.8545884,431,C,HDB,1.363963706,103.8545884
152,A39,,BLK 401/405 ANG MO KIO AVE 10,1.361151022 103.8540722,57,C,HDB,1.361151022,103.8540722
153,A40,,BLK 471/476 ANG MO KIO ST 44,1.362356151 103.8569821,363,C,HDB,1.362356151,103.8569821
154,A41,,BLK 466/470 ANG MO KIO ST 44,1.364936935 103.8569326,146,C,HDB,1.364936935,103.8569326
155,A42,,BLK 461/465 ANG MO KIO ST 44,1.366580182 103.8573639,99,C,HDB,1.366580182,103.8573639
156,A43,,BLK 457/458/460 ANG MO KIO ST 44,1.365996736 103.8592673,19,C,HDB,1.365996736,103.8592673
157,A44,,BLK 459/456 ANG MO KIO ST 44,1.367205743 103.8589905,68,C,HDB,1.367205743,103.8589905
158,A45,,BLK 570/578 ANG MO KIO ST 51,1.370917693 103.8552305,236,C,HDB,1.370917693,103.8552305
159,A47,,BLK 562/565/560 ANG MO KIO STREET 54,1.370558167 103.8592466,162,C,HDB,1.370558167,103.8592466
160,A48,,BLK 571/73 ANG MO KIO ST 51,1.370371281 103.8546523,30,C,HDB,1.370371281,103.8546523
161,A49,,BLK 555/559 ANG MO KIO STREET 54,1.371329606 103.8577971,45,C,HDB,1.371329606,103.8577971
162,A50,,BLK 548/552/556 ANG MO KIO STREET 54,1.372522464 103.8576096,66,C,HDB,1.372522464,103.8576096
163,A51,,BLK 252/253A ANG MO KIO STREET 21,1.369470739 103.8343753,7,C,HDB,1.369470739,103.8343753
164,A52,,BLK 701/716 ANG MO KIO AVE 3/6,1.370385433 103.8469225,0,C,HDB,1.370385433,103.8469225
165,A53,,BLK 712A ANG MO KIO AVE 3/6,1.370865023 103.8468773,658,C,HDB,1.370865023,103.8468773
166,A54,,BLK 727/728 ANG MO KIO AVE 6,1.372434359 103.8459154,342,C,HDB,1.372434359,103.8459154
167,A59,,BLK 547/551 ANG MO KIO ST 54,1.373896221 103.8581398,66,C,HDB,1.373896221,103.8581398
168,A60,,BLK 540/546 ANG MO KIO ST 54,1.374464495 103.8559134,333,C,HDB,1.374464495,103.8559134
169,A61,,BLK 520/534/529 ANG MO KIO AVE 5/10,1.374170446 103.85216,546,C,HDB,1.374170446,103.85216
170,A63,,BLK 501/513/508 ANG MO KIO ST 52/53,1.375176821 103.8493957,404,C,HDB,1.375176821,103.8493957
171,A64,,BLK 584/586 ANG MO KIO ST 51,1.370506585 103.8534735,47,C,HDB,1.370506585,103.8534735
172,A65,,BLK 558/560 ANG MO KIO STREET 54,1.371029159 103.8594172,60,C,HDB,1.371029159,103.8594172
173,A66,,BLK 601/604/603 ANG MO KIO AVE 5,1.380544931 103.8356606,50,C,HDB,1.380544931,103.8356606
174,A67,,BLK 605/612 ANG MO KIO AVE 4/5,1.379686324 103.8378049,412,C,HDB,1.379686324,103.8378049
175,A68,,BLK 620/624/626 ANG MO KIO ST 61,1.381897619 103.8398542,52,C,HDB,1.381897619,103.8398542
176,A69,,BLK 623/625/627 ANG MO KIO ST 61,1.381641458 103.8419454,341,C,HDB,1.381641458,103.8419454
177,A70,,BLK 629/626 ANG MO KIO AVE 4,1.380620641 103.8401072,90,C,HDB,1.380620641,103.8401072
178,A71,,BLK 628/632 ANG MO KIO ST 61,1.380009094 103.8407419,43,C,HDB,1.380009094,103.8407419
179,A72,,BLK 633/640 ANG MO KIO ST 61,1.380760963 103.8435303,195,C,HDB,1.380760963,103.8435303
180,A73,,BLK 641/645 ANG MO KIO ST 61,1.378848189 103.8408247,225,C,HDB,1.378848189,103.8408247
181,A74,,BLK 646/649 ANG MO KIO ST 61,1.37865168 103.8438047,75,C,HDB,1.37865168,103.8438047
182,A75,,BLK 177/182 ANG MO KIO AVE 4,1.376086591 103.8385877,182,C,HDB,1.376086591,103.8385877
183,A76,,BLK 613A ANG MO KIO AVENUE 4,1.377977112 103.8388348,387,C,HDB,1.377977112,103.8388348
184,A77,,BLK 150/156 ANG MO KIO AVE 5,1.376251001 103.8399554,130,C,HDB,1.376251001,103.8399554
185,A78,,BLK 157/163 ANG MO KIO AVE 4,1.374648501 103.8383868,372,C,HDB,1.374648501,103.8383868
186,A81,,BLK 170/172 ANG MO KIO ST 13,1.374355553 103.8364788,37,C,HDB,1.374355553,103.8364788
187,A82,,BLK 173/176 ANG MO KIO AVE 4,1.375674922 103.8363987,95,C,HDB,1.375674922,103.8363987
188,A85,,BLK 340 ANG MO KIO ST 32,1.365107378 103.8497094,46,C,HDB,1.365107378,103.8497094
189,A87,,BLK 462/463 ANG MO KIO ST 44,1.366826359 103.8578842,68,C,HDB,1.366826359,103.8578842
190,A88,,BLK 348 ANG MO KIO AVE 3,1.366280716 103.8472665,4,C,HDB,1.366280716,103.8472665
191,A94,,BLK 104C ANG MO KIO STREET 11,1.371859827 103.838316,129,C,HDB,1.371859827,103.838316
192,A98,,BLK 259 ANG MO KIO AVE 2,1.369164311 103.8318542,73,C,HDB,1.369164311,103.8318542
193,ACB,,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.301063272 103.854118,7,C,HDB,1.301063272,103.854118
194,ACM,,BLK 98A ALJUNIED CRESCENT,1.32100429 103.8850609,0,H,HDB,1.32100429,103.8850609
195,ACM,,BLK 98A ALJUNIED CRESCENT,1.32100429 103.8850609,213,C,HDB,1.32100429,103.8850609
196,ACM,,BLK 98A ALJUNIED CRESCENT,1.32100429 103.8850609,45,Y,HDB,1.32100429,103.8850609
197,AH1,,BLK 101 JALAN DUSUN,1.328283495 103.8446199,132,C,HDB,1.328283495,103.8446199
198,AR9,,BLK 20/22/23 DOVER CRESCENT,1.307284363 103.7834396,14,Y,HDB,1.307284363,103.7834396
199,AR9,,BLK 20/22/23 DOVER CRESCENT,1.307284363 103.7834396,50,H,HDB,1.307284363,103.7834396
200,AR9,,BLK 20/22/23 DOVER CRESCENT,1.307284363 103.7834396,1,C,HDB,1.307284363,103.7834396
201,AV1,,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.285582555 103.8032153,22,C,HDB,1.285582555,103.8032153
202,B10,,BLK 404/413 BEDOK NORTH AVENUE 3,1.329028331 103.9337077,231,C,HDB,1.329028331,103.9337077
203,B11,,BLK 416/418 BEDOK NORTH AVENUE 2,1.328342005 103.9303962,521,C,HDB,1.328342005,103.9303962
204,B14,,BLK 412/413 BEDOK NORTH AVENUE 2,1.329159093 103.9314451,61,C,HDB,1.329159093,103.9314451
205,B16,,BLK 32/63 BEDOK SOUTH AVENUE 2,1.323501118 103.9405595,161,C,HDB,1.323501118,103.9405595
206,B17,,BLK 52/57 NEW UPPER CHANGI ROAD,1.324217738 103.9418572,167,C,HDB,1.324217738,103.9418572
207,B19,,BLK 37/38/43/60 BEDOK SOUTH ROAD,1.321924546 103.940961,371,C,HDB,1.321924546,103.940961
208,B20,,BLK 67/73 BEDOK SOUTH ROAD,1.319799714 103.9434204,141,C,HDB,1.319799714,103.9434204
209,B21,,BLK 74/82 BEDOK NORTH ROAD,1.328177963 103.9410465,286,C,HDB,1.328177963,103.9410465
210,B24,,BLK 84/89 BEDOK NORTH AVENUE 4,1.33264716 103.9382946,0,C,HDB,1.33264716,103.9382946
211,B25,,BLK 91/97 BEDOK NORTH AVENUE 4,1.332969119 103.9404903,10,C,HDB,1.332969119,103.9404903
212,B26,,BLK 98/100 BEDOK NORTH AVENUE 4,1.334307987 103.9403406,112,C,HDB,1.334307987,103.9403406
213,B27,,BLK 101/106 BEDOK NORTH AVENUE 4,1.334117747 103.9380381,129,C,HDB,1.334117747,103.9380381
214,B28,,BLK 107/110 BEDOK NORTH ROAD,1.33254479 103.9355711,211,C,HDB,1.33254479,103.9355711
215,B30,,BLK 119/123 BEDOK NORTH STREET 2,1.329942835 103.9387534,0,C,HDB,1.329942835,103.9387534
216,B31,,BLK 124/129 BEDOK NORTH STREET 2,1.328501234 103.9388502,252,C,HDB,1.328501234,103.9388502
217,B32,,BLK 130/132 BEDOK NORTH STREET 2,1.32741067 103.9367575,183,C,HDB,1.32741067,103.9367575
218,B33,,BLK 131/122 BEDOK NORTH AVENUE 3,1.327240858 103.9358002,189,C,HDB,1.327240858,103.9358002
219,B34,,BLK 134/136 BEDOK NORTH AVENUE 3,1.328312294 103.9356734,168,C,HDB,1.328312294,103.9356734
220,B35,,BLK 137/140 BEDOK NORTH AVENUE 3,1.329058097 103.9351762,67,C,HDB,1.329058097,103.9351762
221,B40,,BLK 504/507 BEDOK NORTH STREET 3,1.332549948 103.9327701,304,C,HDB,1.332549948,103.9327701
222,B41,,BLK 510 BEDOK NORTH STREET 3,1.332554918 103.9314929,0,C,HDB,1.332554918,103.9314929
223,B42,,BLK 509/511 BEDOK NORTH STREET 3,1.332451791 103.9308212,30,C,HDB,1.332451791,103.9308212
224,B43,,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,1.331105187 103.9276034,113,C,HDB,1.331105187,103.9276034
225,B44,,BLK 528/536 BEDOK NORTH STREET 3,1.333971252 103.9275088,394,C,HDB,1.333971252,103.9275088
226,B45,,BLK 537/539 BEDOK NORTH STREET 3,1.331679984 103.925429,15,C,HDB,1.331679984,103.925429
227,B46,,BLK 537/538 BEDOK NORTH STREET 3,1.331321224 103.924182,44,C,HDB,1.331321224,103.924182
228,B47,,BLK 540/542 BEDOK NORTH STREET 3,1.330895915 103.9222478,176,C,HDB,1.330895915,103.9222478
229,B48,,BLK 543/547 BEDOK NORTH STREET 3,1.330095928 103.9234212,89,C,HDB,1.330095928,103.9234212
230,B49,,BLK 549/551 BEDOK NORTH AVENUE 1,1.332185767 103.9266682,75,C,HDB,1.332185767,103.9266682
231,B50,,BLK 601/605 BEDOK RESERVOIR ROAD,1.330447091 103.9130666,234,C,HDB,1.330447091,103.9130666
232,B51,,BLK 611/616 BEDOK RESERVOIR ROAD,1.3321465 103.9163962,167,C,HDB,1.3321465,103.9163962
233,B52,,BLK 617/624 BEDOK RESERVOIR ROAD,1.33390918 103.9178942,122,C,HDB,1.33390918,103.9178942
234,B53,,BLK 625/629 BEDOK RESERVOIR ROAD,1.334251489 103.9151772,56,C,HDB,1.334251489,103.9151772
235,B54,,BLK 630/632 BEDOK RESERVOIR ROAD,1.333363744 103.9152037,0,C,HDB,1.333363744,103.9152037
236,B57,,BLK 701/708 BEDOK RESERVOIR ROAD,1.335843395 103.9190193,198,C,HDB,1.335843395,103.9190193
237,B59,,BLK 716/718/721 BEDOK RESERVOIR ROAD,1.337459185 103.9259534,181,C,HDB,1.337459185,103.9259534
238,B60,,BLK 722/725 BEDOK RESERVOIR ROAD,1.337194222 103.9290567,136,C,HDB,1.337194222,103.9290567
239,B63,,BLK 739/745 BEDOK RESERVOIR ROAD,1.338153727 103.9226165,0,C,HDB,1.338153727,103.9226165
240,B65,,BLK 155/172 BEDOK SOUTH ROAD/AVE 3,1.32003291 103.9456593,332,C,HDB,1.32003291,103.9456593
241,B66,,BLK 637A BEDOK RESERVOIR ROAD,1.330548155 103.9043396,344,C,HDB,1.330548155,103.9043396
242,B67,,BLK 649A JALAN TENAGA,1.332015772 103.9063948,151,C,HDB,1.332015772,103.9063948
243,B69,,BLK 94A BEDOK NORTH AVENUE 4,1.333426184 103.9419707,220,C,HDB,1.333426184,103.9419707
244,B70,,BLK 201 BEDOK NORTH ST 1,1.326289845 103.9279955,4,C,HDB,1.326289845,103.9279955
245,B71,,BLK 29C CHAI CHEE AVENUE,1.324293889 103.9243004,134,C,HDB,1.324293889,103.9243004
246,B72,,BLK 660A JALAN TENAGA,1.33437706 103.9073898,204,C,HDB,1.33437706,103.9073898
247,B73,,BLK 651A JALAN TENAGA,1.332492268 103.9069672,7,C,HDB,1.332492268,103.9069672
248,B74,,BLK 671A JALAN DAMAI,1.332846853 103.9090553,223,C,HDB,1.332846853,103.9090553
249,B75,,BLK 613C BEDOK RESERVOIR ROAD,1.333038103 103.9175262,267,C,HDB,1.333038103,103.9175262
250,B79,,BLK 772A BEDOK RESERVOIR VIEW,1.336776156 103.9374066,1067,C,HDB,1.336776156,103.9374066
251,B7A,,BLK 216/218 BEDOK NORTH ST 1,1.327131692 103.934037,0,C,HDB,1.327131692,103.934037
252,B7B,,BEDOK CENTRAL,1.326521502 103.93484,12,C,HDB,1.326521502,103.93484
253,B80,,BLK 739A BEDOK RESERVOIR ROAD,1.338268304 103.9233606,215,C,HDB,1.338268304,103.9233606
254,B81,,BLK 30A NEW UPPER CHANGI ROAD,1.323211124 103.9349426,480,C,HDB,1.323211124,103.9349426
255,B83,,BLK 21A CHAI CHEE ROAD,1.326469014 103.9222713,149,C,HDB,1.326469014,103.9222713
256,B84,,BLK 215A BEDOK CENTRAL,1.32622611 103.9342048,549,C,HDB,1.32622611,103.9342048
257,B85,,BLK 184 BEDOK NORTH RD,1.326080246 103.9413578,393,C,HDB,1.326080246,103.9413578
258,B86,,BLK 114A BEDOK NORTH ST 2,1.330720263 103.9355693,68,C,HDB,1.330720263,103.9355693
259,B88,,BLK 34A BED0K SOUTH AVE 2,1.322250932 103.938324,172,C,HDB,1.322250932,103.938324
260,B89,,BLK 116A BEDOK NORTH ROAD,1.330959179 103.9372655,147,C,HDB,1.330959179,103.9372655
261,B90,,BLK 35A BEDOK SOUTH AVE 2,1.322520623 103.9396488,75,C,HDB,1.322520623,103.9396488
262,B91,,BLK 630 BEDOK RESERVOIR ROAD,1.332797324 103.9142523,42,C,HDB,1.332797324,103.9142523
263,B92,,BLK 2A BEDOK SOUTH AVE 1,1.321697394 103.9339351,472,C,HDB,1.321697394,103.9339351
264,B94,,BLK 513A BEDOK NORTH AVE 2,1.332260166 103.9293574,287,C,HDB,1.332260166,103.9293574
265,B95,,BLK 220 BEDOK CENTRAL,1.32551298 103.9350827,245,C,HDB,1.32551298,103.9350827
266,B96,,BLK 219 BEDOK CENTRAL,1.32496629 103.9329516,143,C,HDB,1.32496629,103.9329516
267,B97,,BLK 714A BEDOK RESERVOIR ROAD,1.33615579 103.9235081,284,C,HDB,1.33615579,103.9235081
268,B98,,BLK 748 BEDOK RESERVOIR CRESCENT,1.33607942 103.9219169,315,C,HDB,1.33607942,103.9219169
269,BBB,,BLK 232 BRAS BASAH BASEMENT CAR PARK,1.296580028 103.8536632,7,C,HDB,1.296580028,103.8536632
270,BE3,,BLK 401-408 SIN MING AVE,1.36236382 103.8344066,116,C,HDB,1.36236382,103.8344066
271,BE4,,BLK 101-116 BISHAN STREET 12,1.346495537 103.8483778,381,C,HDB,1.346495537,103.8483778
272,BE5,,BLK 117-134 BISHAN STREET 12,1.346177376 103.8509611,326,C,HDB,1.346177376,103.8509611
273,BE6,,BLK 135/138 BISHAN STREET 12,1.344748214 103.8518833,115,C,HDB,1.344748214,103.8518833
274,BE7,,BLK 139-144 BISHAN STREET 12,1.345004699 103.8530229,15,C,HDB,1.345004699,103.8530229
275,BE8,,"BLK 145-150A, 151 BISHAN STREET 11",1.344436392 103.8553148,304,C,HDB,1.344436392,103.8553148
276,BE9,,BLK 153-167 BISHAN STREET 13,1.347170262 103.8561828,355,C,HDB,1.347170262,103.8561828
277,BH1,,BLK 1 THOMSON ROAD,1.324991365 103.8424599,23,C,HDB,1.324991365,103.8424599
278,BH2,,BLK 2 BALESTIER ROAD,1.326045973 103.8428582,23,C,HDB,1.326045973,103.8428582
279,BJ1,,BLK 130-140 CASHEW ROAD,1.37395668 103.769323,194,C,HDB,1.37395668,103.769323
280,BJ2,,BLK 141-151 GANGSA/PETIR ROAD,1.376135031 103.7666613,122,C,HDB,1.376135031,103.7666613
281,BJ3,,BLK 101/129 GANGSA ROAD/PENDING ROAD,1.377310194 103.7693773,463,C,HDB,1.377310194,103.7693773
282,BJ4,,BLK 219/233 PETIR ROAD,1.375459719 103.7723545,47,C,HDB,1.375459719,103.7723545
283,BJ8,,BLK 201/218 PETIR ROAD,1.374612729 103.7737107,475,C,HDB,1.374612729,103.7737107
284,BL3,,BLK 174/179 BOON LAY DRIVE,1.346874708 103.7092346,151,C,HDB,1.346874708,103.7092346
285,BL8,,BLK 221 BOON LAY PLACE,1.345425134 103.7133909,190,C,HDB,1.345425134,103.7133909
286,BLM,,BLK 10 BENDEMEER ROAD,1.31550644 103.8609587,346,C,HDB,1.31550644,103.8609587
287,BM1,,BLK 28 JALAN BUKIT MERAH,1.286273508 103.8096692,18,C,HDB,1.286273508,103.8096692
288,BM2,,BLK 28 HOY FATT ROAD,1.286850768 103.8099531,20,C,HDB,1.286850768,103.8099531
289,BM3,,BLK 49/50 HOY FATT ROAD,1.287707766 103.8115278,4,C,HDB,1.287707766,103.8115278
290,BM4,,BLK 35A JALAN RUMAH TINGGI,1.287667284 103.8089551,60,C,HDB,1.287667284,103.8089551
291,BM5,,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556 103.8076195,1,H,HDB,1.288431556,103.8076195
292,BM5,,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556 103.8076195,9,C,HDB,1.288431556,103.8076195
293,BM5,,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556 103.8076195,1,Y,HDB,1.288431556,103.8076195
294,BM6,,BLK 61 LENGKOK BAHRU,1.289533391 103.8137645,0,H,HDB,1.289533391,103.8137645
295,BM6,,BLK 61 LENGKOK BAHRU,1.289533391 103.8137645,3,Y,HDB,1.289533391,103.8137645
296,BM6,,BLK 61 LENGKOK BAHRU,1.289533391 103.8137645,15,C,HDB,1.289533391,103.8137645
