,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
90,E39,1.281388888888889,103.84861111111111,Yes,LTA,Stand,Cross St outside Telok Ayer DTL Station
91,E40,1.2758333333333334,103.85527777777777,Yes,LTA,Stand,Bayfront Ave outside Marina Bay MRT Station
92,F01,1.3816666666666666,103.84444444444443,Yes,LTA,Stand,Ang Mo Kio Ave 6 outside Yio Chu Kang MRT Station
93,F02,1.3697222222222223,103.84916666666666,Yes,LTA,Stand,Ang Mo Kio Ave 8 outside Ang Mo Kio MRT Station
94,F03,1.350277777777778,103.84888888888888,Yes,Private,Stand,Bishan Place at Bishan Junction 8 shopping Centre
95,F04,1.3511111111111112,103.8475,Yes,LTA,Stand,Bishan Rd opposite Bishan MRT Station (towards Ang Mo Kio)
96,F05,1.3511111111111112,103.84805555555555,Yes,LTA,Stand,Bishan Rd outside Bishan MRT Station (towards Toa Payoh)
97,F06,1.333888888888889,103.85027777777778,Yes,CCS,Stand,Toa Payoh Ctrl in front of Toa Payoh Community Library
98,F07,1.3405555555555555,103.84583333333333,Yes,CCS,Stand,Lor 1 Toa Payoh in front of Blk 109 (near Braddell MRT Station)
99,F08,1.3333333333333333,103.84694444444445,Yes,LTA,Stand,Lor 2 Toa Payoh in front of Blk 175
100,F09,1.3308333333333333,103.84944444444444,Yes,Private,Stand,Lor 6 Toa Payoh along driveway of OrangeTee Building
101,F10,1.3544444444444446,103.83111111111111,Yes,Private,Stand,Upp Thomson Rd along driveway of Thomson Plaza
102,F11,1.3225,103.85472222222222,Yes,CCS,Stand,Whampoa Dr outside Blk 90 Market & Hawker Centre
103,F12,1.3241666666666667,103.85055555555554,Yes,CCS,Stand,Balestier Rd outside Orange Valley Care Centre
104,F14,1.3177777777777777,103.86333333333333,Yes,Private,Stand,Bendemeer Rd outside Blk 25/27 (Bendemeer Shopping Mall)
105,F15,1.306388888888889,103.8625,Yes,Private,Stop,Kallang Rd along driveway of ICA building
106,F16,1.3194444444444444,103.86166666666666,Yes,LTA,Stand,Serangoon Rd outside Boon Keng NEL Station (Ent B)(opp Blk 102)
107,F19,1.3027777777777778,103.86138888888888,Yes,CCS,Stand,Jalan Sultan near Sultan Plaza
108,F20,1.3025,103.86472222222221,No,Private,Stand,Beach Rd along driveway of Golden Mile Complex
109,F21,1.2991666666666666,103.86305555555555,Yes,LTA,Stand,Republic Ave outside Nicoll Highway CCL Station (Ent A)
110,F24,1.3030555555555556,103.85277777777777,Yes,CCS,Stop,Rochor Canal Rd outside Sim Lim Square
111,F25,1.3158333333333334,103.83555555555554,Yes,LTA,Stand,Bukit Timah Rd along driveway of Balmoral Plaza
112,F26,1.3052777777777778,103.84916666666666,Yes,LTA,Stand,Bukit Timah Rd outside Little India NEL Station (Ent A)
113,F27,1.3066666666666666,103.84972222222221,Yes,LTA,Stand,Race Course Rd outside Little India NEL Station (Ent C) (outside Blk 661)
114,F28,1.3119444444444446,103.85333333333332,Yes,LTA,Stand,Race Course Rd outside Farrer Park NEL Station(Ent C) outside Connexion
115,F29,1.3122222222222222,103.85305555555556,Yes,LTA,Stand,Race Course Rd outside Farrer Park NEL Station (Ent D) (towards Rangoon Rd)
116,F31,1.2774999999999999,103.81833333333333,Yes,CCS,Stand,Telok Blangah Cres opposite Blk 11 Market & Food Centre
117,F32,1.2655555555555555,103.82138888888889,Yes,LTA,Stand,Telok Blangah Rd opposite Harbourfront NEL Station (Ent D) (opp Harbourfront Centre)
118,F34,1.2808333333333333,103.83916666666666,Yes,LTA,Stand,Outram Rd outside Outram Park MRT Station
119,F35,1.288333333333333,103.83472222222221,Yes,Private,Stand,Outram Rd along driveway of Holiday Inn Atrium & Shopping Centre
120,F37,1.2841666666666665,103.8325,Yes,LTA,Stand,Seng Poh Rd outside Tiong Bahru Market
121,F38,1.2825,103.81666666666666,Yes,CCS,Stand,Bukit Merah Ctrl outside Blk 165
122,F39,1.273611111111111,103.82472222222222,Yes,CCS,Stand,Bukit Purmei Ave outside Blk 109
123,F40,1.2888888888888888,103.81694444444445,Yes,LTA,Stand,Tiong Bahru Rd outside Redhill MRT Station
124,F41,1.3019444444444446,103.79861111111111,Yes,LTA,Stand,Commonwealth Ave outside Commonwealth MRT Station (towards Alexandra Rd)
125,F42,1.3019444444444446,103.79777777777778,Yes,LTA,Stand,Commonwealth Ave outside Commonwealth MRT Station (towards Clementi)
126,F43,1.294722222222222,103.80527777777777,Yes,LTA,Stand,Commonwealth Ave outside Queenstown MRT Station (towards Clementi)
127,F44,1.2938888888888889,103.80638888888889,Yes,LTA,Stand,Commonwealth Ave outside Queenstown MRT Station (towards Alexandra)
128,F45,1.2877777777777777,103.80333333333333,Yes,CCS,Stand,Queensway outside Queenstown Neighbourhood Police Centre
