,block,floor_area_sqm,resale_price,price_per_sqm,lat,long,isLatLongAvailable
73,101A PUNGGOL FIELD,105.29411764705883,421287.5294117647,4011.810338680927,1.3979461677694,103.905945136259,True
74,101B LOR 2 TOA PAYOH,144.5,940500.0,6507.782567049808,1.33959884500115,103.847605414427,True
75,101B PUNGGOL FIELD,109.66666666666667,439390.6666666667,4006.8100003971563,1.39784715104396,103.906436071245,True
76,101C PUNGGOL FIELD,109.83333333333333,441916.6666666667,4023.1244290877316,1.39809045787162,103.906569305679,True
77,101D PUNGGOL FIELD,103.84615384615384,423383.6923076923,4079.836208236208,1.39848478483582,103.90614388692,True
78,102 ALJUNIED CRES,69.08333333333333,302916.6666666667,4392.710361237292,1.3204390302197,103.882420433245,True
79,102 ANG MO KIO AVE 3,118.3,557900.0,4686.032111552094,1.37065009249377,103.839410348811,True
80,102 BEDOK NTH AVE 4,70.38461538461539,288615.3846153846,4101.261637058264,1.33390654765002,103.937458398204,True
81,102 BEDOK RESERVOIR RD,72.8,300200.0,4130.721393034825,1.32849187727623,103.90926515578,True
82,102 BISHAN ST 12,128.25,809875.0,6284.74517906336,1.3451431233477,103.847990805259,True
83,102 BT BATOK WEST AVE 6,125.6470588235294,490352.9411764706,3933.2190410550365,1.34732995877412,103.747343554163,True
84,102 BT PURMEI RD,86.0,423333.3333333333,4952.755577755578,1.27190842334423,103.826671653892,True
85,102 C'WEALTH CRES,60.833333333333336,271083.3333333333,4462.782743286721,1.30782464878023,103.800629787177,True
86,102 CLEMENTI ST 14,155.0,860000.0,5548.387096774193,1.32228557225905,103.769201884359,True
87,102 GANGSA RD,76.33333333333333,292333.3333333333,3844.970519129317,1.37910762831305,103.768153816778,True
88,102 HENDERSON CRES,80.0,432788.8,5409.86,1.290366187147,103.82157708445,True
89,102 HOUGANG AVE 1,103.4,393560.0,3806.9666857034076,1.35496446293882,103.890855054687,True
90,102 JLN DUSUN,118.0,594454.5454545454,5037.750385208013,1.3278687431847,103.844209602863,True
91,102 JLN RAJAH,94.0,448882.35294117645,4775.344180225282,1.32822306444761,103.851519753845,True
92,102 JURONG EAST ST 13,68.0,321266.6666666667,4724.509803921568,1.33609657873553,103.738219191663,True
93,102 LENGKONG TIGA,122.625,764750.0,6231.796547429559,1.32557930714658,103.91065754789,True
94,102 PASIR RIS ST 12,113.625,425750.0,3742.4544558576868,1.36748427336516,103.958041055125,True
95,102 POTONG PASIR AVE 1,78.26666666666667,425800.0,5439.62038962039,1.3336901273759,103.868810587506,True
96,102 RIVERVALE WALK,141.73684210526315,605578.947368421,4270.744723383417,1.38180761026047,103.900893229708,True
97,102 SERANGOON NTH AVE 1,72.5,293222.0,4046.148208180742,1.37084327297737,103.871153606719,True
98,102 SIMEI ST 1,110.4,491644.26666666666,4455.808349096259,1.34134724729923,103.951355068944,True
99,102 TAMPINES ST 11,89.9375,378430.5,4235.39270179731,1.34671616267656,103.945521388285,True
100,102 TECK WHYE LANE,110.11111111111111,364320.8888888889,3317.9008957499523,1.377082841385,103.754394432037,True
101,102 TOWNER RD,74.0,445666.6666666667,6022.522522522522,1.32058609456907,103.862002015145,True
102,102 WOODLANDS ST 13,73.81818181818181,287909.0909090909,3945.0327414311837,1.43608294925148,103.781199565987,True
103,102A PUNGGOL FIELD,104.28571428571429,418412.5714285714,4028.5379509379513,1.39883318313425,103.905783553043,True
104,102B PUNGGOL FIELD,110.41666666666667,428907.3333333333,3886.1690734342105,1.39908525778671,103.905471407838,True
105,102C PUNGGOL FIELD,110.57142857142857,428000.0,3870.7222004731834,1.39876127750607,103.90493897318,True
106,102D PUNGGOL FIELD,102.72727272727273,396818.1818181818,3870.9825528007345,1.39848070795436,103.905249752459,True
107,103 AH HOOD RD,118.28571428571429,660634.8571428572,5586.097011074505,1.32796267483785,103.844826964123,True
108,103 ANG MO KIO AVE 3,83.38461538461539,361692.3076923077,4332.357894155647,1.37101657804604,103.839304839187,True
109,103 BEDOK NTH AVE 4,75.0,310000.0,4135.776835695464,1.33348258777759,103.937542520091,True
110,103 BEDOK RESERVOIR RD,79.23076923076923,326804.92307692306,4134.377554765642,1.32877022232019,103.909381354431,True
111,103 BISHAN ST 12,123.9,768068.8,6195.885399449036,1.34551249132105,103.848314162387,True
112,103 BT BATOK CTRL,121.0,518700.0,4286.833322092399,1.34835438788998,103.748094095917,True
113,103 BT PURMEI RD,72.18181818181819,371181.8181818182,5165.175466752261,1.27208558524996,103.825495615402,True
114,103 CLEMENTI ST 14,115.75,663125.0,5706.571512902682,1.32258854750628,103.769176205799,True
115,103 GANGSA RD,64.0,245000.0,3828.125,1.37867070821171,103.768538440957,True
116,103 HENDERSON CRES,74.0,416000.0,5621.621621621622,1.28974209684545,103.821375681569,True
117,103 HOUGANG AVE 1,119.5,470000.0,3916.9847328244273,1.35528223434405,103.89036014824,True
118,103 JLN RAJAH,128.85714285714286,646942.0,5011.640361726981,1.32734143333539,103.852780650365,True
119,103 JURONG EAST ST 13,120.0,603125.0,5026.041666666667,1.33668715015786,103.738059200285,True
120,103 LENGKONG TIGA,118.46153846153847,726692.3076923077,6125.852159447085,1.32585546338587,103.910598910975,True
121,103 PASIR RIS ST 12,111.28571428571429,435863.4285714286,3917.2619417825526,1.36769508123853,103.958404209993,True
122,103 POTONG PASIR AVE 1,81.0,380000.0,4725.349225630124,1.33411338676706,103.86952371664,True
123,103 RIVERVALE WALK,142.5,597420.5714285715,4191.639559645309,1.38291146712108,103.901208583313,True
124,103 SERANGOON NTH AVE 1,92.33333333333333,351833.3333333333,3809.9964551577455,1.37067353047523,103.870263924296,True
125,103 SPOTTISWOODE PK RD,120.41666666666667,741631.3333333334,6161.254355030193,1.27466096925721,103.835279824837,True
126,103 TAMPINES ST 11,89.0,369000.0,4175.554865568428,1.34769662535556,103.946229920882,True
127,103 TECK WHYE LANE,108.77777777777777,347987.55555555556,3183.3769277465753,1.37713078246274,103.753555993761,True
128,103 TOWNER RD,123.0,715000.0,5836.069252279471,1.32064381512285,103.861634081148,True
129,103 WOODLANDS ST 13,68.66666666666667,281666.6666666667,4100.33167495854,1.4366212320968,103.78097673981,True
130,103 YISHUN RING RD,70.75,268375.0,3811.749180924645,1.43136934951878,103.828892847163,True
131,103A DEPOT RD,95.38461538461539,581000.0,6102.991452991453,1.28070197642689,103.813353428682,True
132,103A EDGEFIELD PLAINS,110.0,438620.5714285714,3987.45974025974,1.39825531783982,103.904753996381,True
133,103B DEPOT RD,106.77777777777777,600000.0,5616.924870897884,1.28073692384594,103.813135678562,True
134,103B EDGEFIELD PLAINS,110.0,444142.85714285716,4037.662337662338,1.39773127538403,103.90468537415,True
135,103C EDGEFIELD PLAINS,110.0,417992.5333333333,3799.9321212121213,1.39726660845387,103.90453836308,True
136,104 ALJUNIED CRES,92.0,457250.0,4970.108695652174,1.32006886595229,103.882818111651,True
137,104 BEDOK NTH AVE 4,74.2,309794.4,4190.897909195301,1.3332985212474,103.936601473643,True
138,104 BEDOK RESERVOIR RD,122.2,457600.0,3743.76929382517,1.32924536652386,103.909923721507,True
139,104 BISHAN ST 12,79.5,462500.0,5821.8298555377205,1.3456750211197,103.84803290576,True
140,104 BT BATOK CTRL,105.0,430666.6666666667,4103.732326863168,1.34899500255547,103.747258218606,True
141,104 BT PURMEI RD,80.27272727272727,397566.1818181818,4932.7848317726275,1.27239853587858,103.825625504182,True
142,104 CLEMENTI ST 14,157.0,820000.0,5222.929936305733,1.32294968512724,103.769189152266,True
143,104 GANGSA RD,81.57142857142857,310126.85714285716,3852.1738073072024,1.37880399486152,103.76796875654,True
144,104 HENDERSON CRES,74.0,398285.71428571426,5382.2393822393815,1.2893692748935,103.821538089569,True
145,104 JLN DUSUN,90.0,488000.0,5422.222222222223,1.32842530547543,103.844142365034,True
146,104 JLN RAJAH,110.2,505600.0,4574.310260529441,1.32780496961457,103.853262284564,True
147,104 JURONG EAST ST 13,76.0,342500.0,4560.574229691877,1.33658465311802,103.737623303842,True
148,104 LENGKONG TIGA,148.28571428571428,859857.1428571428,5800.071331147652,1.32563496745023,103.909815198327,True
149,104 PASIR RIS ST 12,114.0,434916.6666666667,3815.6866408232527,1.36795278578738,103.958702642513,True
150,104 POTONG PASIR AVE 1,77.0,417238.09523809527,5410.587096231997,1.3343391689203,103.869158899303,True
151,104 RIVERVALE WALK,106.1,402188.8,3787.2805801962777,1.38262745864985,103.900929877213,True
152,104 SERANGOON NTH AVE 1,79.33333333333333,311666.6666666667,3949.056914586937,1.37059316193953,103.871086801722,True
153,104 SPOTTISWOODE PK RD,120.66666666666667,734000.0,6084.551669052384,1.27442754696062,103.834878784712,True
154,104 TAMPINES ST 11,90.41666666666667,377000.0,4163.640438323982,1.34720576651075,103.946641750013,True
155,104 TECK WHYE LANE,108.5,357000.0,3252.8842012414802,1.37708162127187,103.752870448301,True
156,104 TOWNER RD,128.85714285714286,760055.4285714285,5883.344777109161,1.31982354462646,103.860979745364,True
157,104 WHAMPOA DR,115.84615384615384,623961.5384615385,5396.368644009619,1.3207995912383,103.853327785421,True
158,104 WOODLANDS ST 13,91.23076923076923,326307.6923076923,3576.629056562167,1.43646587087026,103.781576865168,True
159,104A ANG MO KIO ST 11,145.0,836250.0,5767.901376541334,1.37182700854497,103.838803655863,True
160,104A DEPOT RD,110.22222222222223,635765.3333333334,5780.468165917042,1.28045561330579,103.812317740785,True
161,104A EDGEFIELD PLAINS,107.33333333333333,420192.5333333333,3921.7503030303033,1.3968057047795,103.905054187798,True
162,104B ANG MO KIO ST 11,128.875,665861.0,5160.199307405049,1.37151151416054,103.838458787545,True
163,104B DEPOT RD,105.22222222222223,611777.8888888889,5819.034927536232,1.28049143987378,103.812100811742,True
164,104B EDGEFIELD PLAINS,106.0,422600.0,3982.2222222222226,1.39660886204199,103.905303792463,True
165,105 ALJUNIED CRES,117.0,567388.8,4857.98347107438,1.31946862097465,103.882751492944,True
166,105 ANG MO KIO AVE 4,92.0,387187.5,4208.559782608696,1.37231328287072,103.837601112788,True
167,105 BEDOK NTH AVE 4,72.16666666666667,291382.6666666667,4030.3822031626914,1.33372280929,103.936517719048,True
168,105 BEDOK RESERVOIR RD,77.85714285714286,320256.5714285714,4110.863700849669,1.32914437941094,103.909112780576,True
169,105 BISHAN ST 12,73.23076923076923,429076.92307692306,5877.773668639053,1.34589493632505,103.847365252767,True
170,105 BT BATOK CTRL,105.84615384615384,408000.0,3860.39201183432,1.3485726542005,103.747156223784,True
171,105 BT PURMEI RD,77.5,426062.5,5481.672344126814,1.27248301325334,103.824703021719,True
172,105 CLEMENTI ST 12,72.0,354250.0,4927.036432561672,1.32271179028812,103.76988810369,True
173,105 GANGSA RD,71.77777777777777,305388.8888888889,4286.149440836941,1.37831242120574,103.767763308976,True
174,105 HENDERSON CRES,65.0,329394.7368421053,5067.611336032388,1.29021420176947,103.822356844711,True
175,105 JLN RAJAH,150.0,765600.0,5105.320432159005,1.32857909987613,103.85387252356,True
176,105 JURONG EAST ST 13,91.25,448250.0,4912.535833731486,1.33738746819329,103.738527627347,True
177,105 LENGKONG TIGA,149.0,855000.0,5738.255033557047,1.32564831471452,103.91011217937,True
178,105 PASIR RIS ST 12,115.0,435800.0,3788.4555643070685,1.36843792148695,103.957538790848,True
179,105 POTONG PASIR AVE 1,76.23076923076923,419145.23076923075,5492.909835900127,1.3344146057866,103.86869426623,True
180,105 RIVERVALE WALK,100.66666666666667,406333.3333333333,4034.1830065359477,1.38215613071495,103.900711925224,True
181,105 SERANGOON NTH AVE 1,64.9,270788.8,4187.707494824017,1.37024745860601,103.870225980491,True
182,105 SIMEI ST 1,147.14285714285714,691142.8571428572,4699.290924339848,1.34092459427981,103.950742498791,True
183,105 TAMPINES ST 11,84.16666666666667,362375.0,4310.5842516602015,1.3480931246949,103.947177564477,True
184,105 TECK WHYE LANE,76.77777777777777,301946.44444444444,3933.1203288809224,1.37765001961331,103.7529943035,True
185,105 TOWNER RD,86.875,496687.5,5688.339700189828,1.3208130428228,103.861346713506,True
186,105 WOODLANDS ST 13,91.8125,335086.75,3649.5499606824333,1.43684476168491,103.781579113316,True
187,105A EDGEFIELD PLAINS,108.33333333333333,417041.6666666667,3850.2104377104374,1.3969413315622,103.905729497383,True
188,105B EDGEFIELD PLAINS,98.57142857142857,419000.0,4257.864357864358,1.39720646427031,103.906002280084,True
189,105C EDGEFIELD PLAINS,102.72727272727273,404000.0,3940.312213039486,1.39767203537129,103.905598767902,True
190,105D EDGEFIELD PLAINS,104.0,410560.0,3957.333333333333,1.39717530895925,103.905229593145,True
191,106 ALJUNIED CRES,72.46666666666667,356533.3333333333,4940.128625166849,1.31905494962151,103.882900918125,True
192,106 ANG MO KIO AVE 4,80.42857142857143,341428.5714285714,4240.476979241024,1.37193370323489,103.837486061851,True
193,106 BEDOK NTH AVE 4,45.0,210857.2857142857,4685.71746031746,1.33445895034228,103.937087136194,True
194,106 BEDOK RESERVOIR RD,92.23076923076923,382615.3846153846,4149.3270756322145,1.32950152189669,103.909381688756,True
195,106 BISHAN ST 12,89.92857142857143,545849.1428571428,6072.0463108320255,1.34610070068315,103.847847191353,True
196,106 BT BATOK CTRL,104.375,415752.25,3983.1273139827463,1.3482223088624,103.74718849849,True
197,106 BT PURMEI RD,92.8,452000.0,4851.002371402379,1.2729893703256,103.825626826099,True
198,106 GANGSA RD,91.4,343908.8,3785.596907522749,1.3779019997366,103.767412279054,True
199,106 HENDERSON CRES,81.0,459928.8,5678.133333333333,1.28942607947152,103.822276781927,True
200,106 HOUGANG AVE 1,74.0,269000.0,3642.1595725078314,1.35370313485788,103.890680820842,True
201,106 JLN DUSUN,95.0,488777.6,5149.879154715891,1.32855771177594,103.844796773619,True
202,106 JLN RAJAH,151.15384615384616,758000.0,5014.915391226254,1.32847655795117,103.854698874866,True
203,106 JURONG EAST ST 13,120.0,605000.0,5041.666666666667,1.33724965052823,103.737674650927,True
204,106 LENGKONG TIGA,147.33333333333334,881481.3333333334,5987.730178497302,1.32508845931345,103.91000876961,True
205,106 PASIR RIS ST 12,113.2,448200.0,3938.174477221807,1.36801255048337,103.95765313312,True
206,106 POTONG PASIR AVE 1,75.4,378737.6,5034.505438772106,1.33410033566662,103.868171273744,True
207,106 RIVERVALE WALK,103.85714285714286,393285.71428571426,3773.111739745403,1.38249729178426,103.900321341916,True
208,106 SERANGOON NTH AVE 1,72.71428571428571,319714.28571428574,4392.4578527063,1.37024462107298,103.87082295041,True
209,106 SIMEI ST 1,107.6,481200.0,4478.672761664565,1.34188521733435,103.950833481196,True
210,106 SPOTTISWOODE PK RD,121.71428571428571,725055.4285714285,5958.4659244669865,1.27356673846343,103.83405815603,True
211,106 TAMPINES ST 11,133.8,558200.0,4173.678722353328,1.34753919206552,103.947675427986,True
212,106 TECK WHYE LANE,79.66666666666667,284444.44444444444,3624.743243043549,1.37795798795128,103.752931630674,True
213,106 TOWNER RD,124.71428571428571,741714.2857142857,5966.317091352983,1.32102000991534,103.860997833137,True
214,106 WOODLANDS ST 13,83.66666666666667,335629.3333333333,4033.446679645252,1.4367694338717,103.782224172938,True
215,106 YISHUN RING RD,67.0,242250.0,3615.6716417910447,1.43147861432349,103.827452004212,True
216,106A DEPOT RD,106.66666666666667,651666.6666666666,6125.942028985508,1.28061364977894,103.810967870883,True
217,106A PUNGGOL FIELD,100.38461538461539,389222.1538461539,3901.6082270670504,1.3966048607668,103.90834413446,True
218,106B DEPOT RD,106.2,586277.6,5527.786950524738,1.28064950442563,103.810750913525,True
219,106B PUNGGOL FIELD,93.07692307692308,396846.1538461539,4270.47397047397,1.39709453228144,103.907955363138,True
220,106C PUNGGOL FIELD,102.0,432966.6666666667,4289.743219154984,1.39736664207497,103.907562230122,True
221,106D PUNGGOL FIELD,110.22222222222223,440333.3333333333,3994.9312949312953,1.39762606734892,103.907358127148,True
222,107 ALJUNIED CRES,91.33333333333333,486666.6666666667,5327.8786430960345,1.31896465338811,103.884287246879,True
223,107 ANG MO KIO AVE 4,82.57142857142857,331357.14285714284,3998.3972736781725,1.37138400081003,103.837381409794,True
224,107 BEDOK NTH RD,73.53333333333333,305379.2,4162.3326310893035,1.33231740745783,103.936301267285,True
225,107 BEDOK RESERVOIR RD,72.2,306600.0,4246.477290964532,1.32987028916159,103.909220387915,True
226,107 BISHAN ST 12,88.76923076923077,532905.8461538461,6000.724711186249,1.34641761420969,103.847920706844,True
227,107 BT BATOK WEST AVE 6,106.0,417571.4285714286,3942.5180675180673,1.34781088479752,103.746608758355,True
228,107 BT PURMEI RD,77.4,413788.8,5354.350569731985,1.27310165475122,103.824508572172,True
229,107 GANGSA RD,146.28571428571428,626857.1428571428,4280.348610913113,1.37798469700849,103.766714651133,True
230,107 JLN BT MERAH,63.333333333333336,261828.66666666666,4132.089276399135,1.27983690191197,103.824757769108,True
231,107 JLN RAJAH,117.0,568250.0,4823.2346161905425,1.32785332684887,103.854993724632,True
232,107 JURONG EAST ST 13,162.0,755000.0,4660.493827160494,1.33778634539959,103.738131877539,True
233,107 LENGKONG TIGA,149.0,880000.0,5906.040268456376,1.32495459884083,103.910175149612,True
234,107 LOR 1 TOA PAYOH,67.0,265111.1111111111,3956.882255389718,1.34121948900326,103.847288831588,True
235,107 PASIR RIS ST 12,111.85714285714286,427585.71428571426,3819.198110168785,1.36750966709317,103.957518917808,True
236,107 POTONG PASIR AVE 1,81.3076923076923,433222.1538461539,5356.415741414995,1.33470936894148,103.86841323904,True
237,107 RIVERVALE WALK,105.07692307692308,393038.46153846156,3741.9783060605314,1.38300501325196,103.900272453522,True
238,107 SERANGOON NTH AVE 1,62.35294117647059,274117.64705882355,4401.540616246499,1.36990039748774,103.870224885633,True
239,107 SIMEI ST 1,107.75,481862.5,4481.802933874527,1.3421611396727,103.950489942022,True
240,107 TAMPINES ST 11,91.5,406600.0,4457.043077663593,1.34832915462114,103.948430663533,True
241,107 TECK WHYE LANE,148.1818181818182,564363.6363636364,3809.795302248602,1.37805538148223,103.753588247554,True
242,107 TOWNER RD,88.47058823529412,514441.17647058825,5817.007270683742,1.31933733566872,103.860225974926,True
243,107 WOODLANDS ST 13,170.0,670000.0,3941.176470588235,1.43729843225252,103.782227077422,True
244,107 YISHUN RING RD,81.26190476190476,287666.6666666667,3592.815577104094,1.4322180811837,103.827520197458,True
245,107A EDGEFIELD PLAINS,110.0909090909091,422080.7272727273,3834.0448812448813,1.39719879396476,103.906825785664,True
246,107B EDGEFIELD PLAINS,108.41666666666667,432333.3333333333,3989.6919646919646,1.39683723523598,103.907248151565,True
247,107C EDGEFIELD PLAINS,103.44444444444444,419320.8888888889,4063.8053326053323,1.39662152089139,103.907600724822,True
248,107D EDGEFIELD PLAINS,110.15384615384616,442299.07692307694,4015.2250992250993,1.39623982211947,103.90800726106,True
249,108 ALJUNIED CRES,73.42105263157895,366204.63157894736,4973.934077569079,1.31917515239477,103.885321594343,True
250,108 ANG MO KIO AVE 4,72.11764705882354,308823.5294117647,4284.314379829918,1.37096635222625,103.838201940326,True
251,108 BEDOK NTH RD,76.70588235294117,318869.17647058825,4188.154595869878,1.33274009226511,103.936223519694,True
252,108 BEDOK RESERVOIR RD,77.6923076923077,335000.0,4322.91049744732,1.33023192210361,103.909386968106,True
253,108 BISHAN ST 12,67.57142857142857,380157.14285714284,5626.452146869984,1.34671498920224,103.847398357544,True
254,108 BT BATOK WEST AVE 6,105.2,413600.0,3932.7102803738317,1.34744385185714,103.746502067957,True
255,108 BT PURMEI RD,90.53846153846153,461369.23076923075,5098.243243243243,1.2733573140352,103.825345821846,True
256,108 C'WEALTH CRES,62.285714285714285,278285.71428571426,4470.700707482639,1.30754731967127,103.799088583204,True
257,108 GANGSA RD,85.0,320000.0,3813.0070488096817,1.37759685167022,103.767227214144,True
258,108 HOUGANG AVE 1,70.5,299333.3333333333,4235.274246053682,1.35277393315533,103.890093177026,True
259,108 JLN BT MERAH,83.78571428571429,418563.4285714286,5023.046254015141,1.27922008833835,103.825441382185,True
260,108 JLN RAJAH,150.23076923076923,732991.3846153846,4880.7909753026215,1.32838935725024,103.855750872335,True
