,BusStopCode,RoadName,Description,Latitude,Longitude
216,09048,Orchard Rd,Orchard Stn/Lucky Plaza,1.30386684425114,103.83413070051408
217,09059,Grange Rd,Natl Youth Council,1.30044251755834,103.83623804216019
218,09111,Orchard Blvd,Opp Four Seasons Hotel,1.30453752623147,103.82914529614989
219,09121,Orchard Blvd,Bef Tomlinson Rd,1.30397379238249,103.82699645124522
220,09131,Grange Rd,Grange Residences,1.30391999998489,103.82333805603095
221,09139,Grange Rd,Aft Cuscaden Rd,1.30419941874773,103.82354787581355
222,09141,Napier Rd,British Council,1.30543500002797,103.82177666702269
223,09149,Napier Rd,Opp British Council,1.30608981381948,103.8212215023314
224,09159,Tanglin Rd,Aft Tomlinson Rd,1.30602637557418,103.82568042620605
225,09169,Orchard Rd,Delfi Orchard,1.3070135326348,103.82835507326037
226,09179,Orchard Rd,Royal Thai Embassy,1.30587966240898,103.83049004618626
227,09191,Tomlinson Rd,The Regent S'pore,1.30488653118311,103.82549755834486
228,09212,Scotts Rd,Royal Plaza On Scotts,1.30702238421536,103.83265522662566
229,09213,Scotts Rd,Thong Teck Bldg,1.30783805600034,103.83305083303023
230,09219,Scotts Rd,Far East Plaza,1.30731999685228,103.83316088291699
231,10009,Bt Merah Ctrl,Bt Merah Int,1.28210155945393,103.81722480263163
232,10011,New Bridge Rd,BEF NEIL RD,1.2777380589964,103.83749709165197
233,10017,Eu Tong Sen St,Aft Hosp Dr,1.27832046633393,103.83762574759974
234,10018,Eu Tong Sen St,Outram Pk Stn Exit F/SGH,1.27900819665099,103.83860360621959
235,10021,Neil Rd,Blk 3,1.27744837946643,103.83838894560753
236,10041,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.27605834770353,103.83519065305671
237,10049,Kg Bahru Rd,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772155
238,10051,Jln Bt Merah,Blk 149,1.2774116353284,103.83214410914843
239,10059,Jln Bt Merah,Opp Blk 149,1.27739664167497,103.83275178077875
240,10061,Jln Bt Merah,Blk 140,1.27860472196885,103.82948638898173
241,10069,Jln Bt Merah,Opp Blk 140,1.27855472196877,103.83008250001669
242,10071,Jln Bt Merah,Blk 111,1.28045309423663,103.82638920754815
243,10079,Jln Bt Merah,Blk 201,1.2803950142786,103.82708906887606
244,10081,Jln Bt Merah,Opp Blk 120,1.2822783541702,103.82241744338572
245,10089,Jln Bt Merah,Blk 119,1.28292332245689,103.82165660905856
246,10091,Jln Bt Merah,Bt Merah Town Ctr,1.28394108576437,103.81783962251122
247,10099,Jln Bt Merah,Opp Bt Merah Town Ctr,1.28420923932422,103.81765723225827
248,10101,Jln Bt Merah,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436
249,10109,Jln Bt Merah,BT MERAH SEC SCH,1.28535315729277,103.81370529674271
250,10111,Jln Bt Merah,Opp Blk 28,1.28592835098556,103.80935410958449
251,10119,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598009010704,103.81122515087834
252,10121,Kim Tian Rd,Blk 126 CP,1.28259924598805,103.82890541983913
253,10129,Kim Tian Rd,Blk 121,1.28231999999009,103.8285719444802
254,10131,Jln Bt Merah,Opp Blk 2,1.28619141382394,103.80686549059318
255,10139,Jln Bt Merah,Blk 1,1.28635135443034,103.8081000223439
256,10141,Tiong Bahru Rd,Blk 18,1.28583847140468,103.83238179897589
257,10149,Tiong Bahru Rd,Blk 1,1.28606797463712,103.83283384311112
258,10151,Tiong Bahru Rd,Ctrl Green Condo,1.28572048365401,103.8285292287095
259,10161,Tiong Bahru Rd,Opp Tiong Bahru Stn,1.28593135445772,103.82668969231534
260,10169,Tiong Bahru Rd,Tiong Bahru Stn,1.28599961406266,103.82748123930962
261,10171,Tiong Bahru Rd,Opp Tiong Bahru Pk,1.28736808047078,103.82346004890803
262,10179,Tiong Bahru Rd,Tiong Bahru Pk,1.28722333302937,103.82395833301354
263,10181,Tiong Bahru Rd,BEF AR-RABITAH MQUE,1.28850399420484,103.82109741719866
264,10189,Tiong Bahru Rd,Blk 104A CP,1.28858805222806,103.82183192865197
265,10191,Tiong Bahru Rd,Blk 78,1.28860026020096,103.81903121724014
266,10199,Tiong Bahru Rd,Delta Swim Cplx,1.28875723330649,103.81936618662205
267,10201,Tiong Bahru Rd,Opp Redhill Stn,1.28928144532567,103.81662854691157
268,10209,Tiong Bahru Rd,Redhill Stn,1.28954631749853,103.81672885450702
269,10211,Leng Kee Rd,Porsche Ctr S'pore,1.29075499997303,103.81144166700754
270,10219,Leng Kee Rd,Opp Motor Image,1.29089526651849,103.81191424883255
