,Unnamed: 0,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure,num_malls,num_taxi_stands,num_primary_schools,num_mrt,num_hawker,num_carparks,num_bus_stops,num_chas_clinics,num_sports_facilities,num_community_centers,num_supermarkets,num_secondary_schools
32,32,SOUTH BRIDGE ROAD,FOOK HAI BUILDING,RCR,1.2826947803109234,103.84869893663644,8024.691358024691,1,99 yrs lease commencing from 1972,8,44,0,9,8,5,54,41,36,2,18,0
33,33,GOPENG STREET,ICON,CCR,1.280746107993585,103.83895515809212,18249.631762481597,2,99 yrs lease commencing from 2002,4,24,1,4,8,10,57,22,18,3,16,1
34,34,PASIR PANJANG ROAD,ICON @ PASIR PANJANG,RCR,1.2216250097581092,103.8432442468358,13333.333333333334,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
35,35,CHIN SWEE ROAD,LANDMARK TOWER,RCR,1.2757965116761771,103.8498224047969,10693.80078697207,3,99 yrs lease commencing from 1980,4,29,0,7,5,0,33,35,27,2,12,0
36,36,PASIR PANJANG ROAD,PASIR PANJANG LODGE,RCR,1.20816215840754,103.855234089303,10506.338128471729,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
37,37,ROBINSON ROAD,ROBINSON SUITES,CCR,1.2861067688491008,103.84468281862598,26854.19718375265,1,Freehold,5,46,0,7,8,5,63,32,36,2,12,1
38,38,PASIR PANJANG ROAD,RESIDENTIAL APARTMENTS,RCR,1.2278629436247988,103.84040136150804,9133.414932680538,5,999 yrs lease commencing from 1966,0,0,0,0,0,0,0,0,0,0,0,0
39,39,PASIR PANJANG ROAD,THE ESTIVA,RCR,1.2141641788507846,103.85153858623856,13543.085994761814,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
40,40,HAVELOCK ROAD,RIVER PLACE,RCR,1.277614593039485,103.8539306121992,14979.117680234134,3,99 yrs lease commencing from 1995,3,20,0,8,3,1,24,29,18,0,8,0
41,41,QUEENSWAY,QUEENSWAY TOWER,RCR,1.239380578457104,103.85130016682336,11066.210108187552,3,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
42,42,TAN QUEE LAN STREET,HERITAGE PLACE,CCR,1.2927421323912562,103.862208171832,18308.05064500717,7,999 yrs lease commencing from 1827,9,14,0,3,0,5,30,7,6,0,5,0
43,43,WEST COAST RISE,MONTEREY PARK CONDOMINIUM,OCR,1.1893002339978045,103.88041749630295,12403.463871290616,5,999 yrs lease commencing from 1885,0,0,0,0,0,0,0,0,0,0,0,0
44,44,DUNDEE ROAD,QUEENS PEAK,RCR,1.2430269177270863,103.85799809957486,18606.981143700832,3,99 yrs lease commencing from 2015,0,0,0,0,0,0,0,0,0,0,0,0
45,45,PASIR PANJANG ROAD,JUBILEE RESIDENCE,RCR,1.2111875289064002,103.85312687220998,11708.757319968894,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
46,46,MARINA BOULEVARD,THE SAIL @ MARINA BAY,CCR,1.288961257942817,103.84451860578956,20769.972235072222,1,99 yrs lease commencing from 2002,6,36,0,7,7,5,57,21,20,2,11,1
47,47,LOWER DELTA ROAD,TERESA VILLE,RCR,1.2601416770903406,103.8397831542925,11802.233137929645,4,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
48,48,SOUTH BUONA VISTA ROAD,BAYVILLE CONDOMINIUM,RCR,1.223641816066003,103.84490531772002,11710.406136231157,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
49,49,PASIR PANJANG ROAD,GOLD COAST CONDOMINIUM,RCR,1.2104027319123003,103.85423311184653,11559.363920371256,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
50,50,ANSON ROAD,INTERNATIONAL PLAZA,CCR,1.282156738495418,103.83979197263636,11583.88864281189,2,99 yrs lease commencing from 1970,4,29,1,6,8,10,53,25,22,4,14,1
51,51,UPPER CROSS STREET,PEOPLE'S PARK CENTRE,RCR,1.280175866490963,103.84947468422432,8544.303797468354,1,99 yrs lease commencing from 1970,6,42,0,9,8,1,45,42,36,3,18,0
52,52,KEE SENG STREET,ONZE @ TANJONG PAGAR,RCR,1.2784196327502904,103.83863696106047,26425.295519202155,2,Freehold,3,20,1,4,5,5,47,18,15,3,12,1
53,53,CANTONMENT ROAD,THE BEACON,RCR,1.2767047537020622,103.83965543297695,14300.68492985867,2,99 yrs lease commencing from 2004,3,22,1,4,5,5,43,16,17,2,11,0
54,54,NORTH BRIDGE ROAD,ONE NORTH BRIDGE,CCR,1.2854908559787677,103.85372700039414,15908.108108108108,6,99 yrs lease commencing from 1969,11,28,0,8,3,9,50,34,26,1,15,0
55,55,YAN KIT ROAD,THE ARRIS,RCR,1.2778270170664792,103.83928408124171,20285.29958211221,2,Freehold,3,22,1,4,5,5,48,16,18,2,12,1
