,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1255,Pek Kio CC,Community Centre,21 Gloucester Road 219458,1.31305864843728,103.851373846882,Pek Kio CC 21 Gloucester Road,ChIJ55REQMMZ2jERqWwBo3e9uFo,362.0,4.1,0.007338779978510754,4.152763073856998
1256,Potong Pasir CC,Community Centre,6 Potong Pasir Avenue 2 358361,1.33253591154285,103.86703683934,Potong Pasir CC 6 Potong Pasir Avenue 2,ChIJjVfWj3gX2jERHP9kSEkgmOM,657.0,4.2,0.013319277474810955,4.1537771193051265
1257,Punggol 21 CC,Community Centre,80 Punggol Field 828815,1.39360624159956,103.913464113125,Punggol 21 CC 80 Punggol Field,ChIJrWIzRwIW2jERGPDNu6ftpCg,855.0,4.1,0.017333306302836176,4.152231833268589
1259,Limbang Constituency Office,Community Centre,20 Choa Chu Kang Street 52 689286,1.39491758447052,103.744727853367,Limbang Constituency Office 20 Choa Chu Kang Street 52,ChIJXQvRk_ER2jERtt89OU4z_jk,36.0,3.8,0.0007298234232773126,4.152895413709978
1260,One Punggol CC (U/C),Community Centre,"1 Punggol Drive, #04-04 828629",1.40861759539368,103.90508784944,"One Punggol CC (U/C) 1 Punggol Drive, #04-04",ChIJOwX-M38V2jERCfpqYreVyCI,13.0,4.5,0.0002635473472945851,4.153244563719557
1262,Punggol Park CC,Community Centre,458 Hougang Avenue 10 530458,1.37773444443111,103.896252886146,Punggol Park CC 458 Hougang Avenue 10,ChIJi_A_8jkW2jERXfxHJxu_0hc,97.0,4.1,0.0019664686682749812,4.153048629142858
1263,Punggol Vista CC,Community Centre,602 Punggol Central 820602,1.40328429076968,103.907288602075,Punggol Vista CC 602 Punggol Central,ChIJm8QVyv0V2jERdWkEunvwm-8,83.0,4.1,0.0016826484481115818,4.153063715082489
1264,Punggol West CC,Community Centre,259C Punggol Field 823259,1.40451590068484,103.89566486383,Punggol West CC 259C Punggol Field,ChIJJQf5a-EV2jERL3qNF7NYPw0,55.0,4.4,0.0011150080077847832,4.153428389364085
1265,Queenstown CC,Community Centre,365 Commonwealth Avenue 149732,1.29915022797049,103.80130510766,Queenstown CC 365 Commonwealth Avenue,ChIJd579PQUEBBARwgdz6iK21hE,498.0,4.2,0.010095890688669491,4.153626113798028
1266,Siglap CC,Community Centre,300 Bedok South Avenue 3 469299,1.32163185812187,103.9433365555,Siglap CC 300 Bedok South Avenue 3,ChIJrY5xB8wi2jERYBmbIKxXsow,252.0,3.9,0.005108763962941188,4.1518598534472195
1268,Siglap South CC,Community Centre,6 Palm Road 456441,1.3131589522001,103.930623466344,Siglap South CC 6 Palm Road,ChIJB7eVwbsi2jERn-FpJgl6dHY,184.0,4.2,0.00373020860786182,4.153327901664514
1269,Taman Jurong CC,Community Centre,1 Yung Sheng Road 618495,1.3353068008328,103.721626399564,Taman Jurong CC 1 Yung Sheng Road,ChIJxYNXE_sP2jEReHgQTCiiv-8,635.0,4.3,0.012873274271697042,4.155043552888547
1270,ACE The Place CC,Community Centre,120 Woodlands Avenue 1 739069,1.42749277602918,103.792240772323,ACE The Place CC 120 Woodlands Avenue 1,ChIJzb2egbsT2jERcq5yvbCJ7yY,541.0,4.1,0.010967624222028504,4.152570189343154
1271,Aljunied CC,Community Centre,110 Hougang Avenue 1 530110,1.35465808310012,103.889546235205,Aljunied CC 110 Hougang Avenue 1,ChIJVVVVJbgX2jERlc38WUrhUUI,93.0,3.9,0.0018853771767997243,4.152675863975964
1272,Anchorvale CC,Community Centre,59 Anchorvale Road 544965,1.39712791773438,103.886665684716,Anchorvale CC 59 Anchorvale Road,ChIJgz37DHQW2jERqjPlPqDQ9cE,759.0,4.3,0.015387110507430008,4.155412701813254
1273,Ang Mo Kio CC,Community Centre,795 Ang Mo Kio Avenue 1 569976,1.36683348076669,103.840668130336,Ang Mo Kio CC 795 Ang Mo Kio Avenue 1,ChIJezqw494W2jERiMgKkfS_nVc,301.0,4.1,0.006102134733513086,4.152828805451102
1274,Ayer Rajah CC,Community Centre,150 Pandan Gardens 609335,1.3207993044286,103.747540191939,Ayer Rajah CC 150 Pandan Gardens,ChIJ4ydWlqMa2jERWCR933Y5D7s,590.0,4.2,0.011960994992600402,4.153713488053707
1275,Bedok CC,Community Centre,850 New Upper Changi Road 467352,1.32424659842593,103.936047838803,Bedok CC 850 New Upper Changi Road,ChIJbfCQErUi2jERUUI_vMAxZ5g,1088.0,4.2,0.022056885681269893,4.154186448698583
