,Unnamed: 0,index,licence_numbers,business_name,name_of_license,premise_address,lat,long,isLatLongAvailable,google_place_id,num_ratings,avg_rating,W,weighted_rating,modified_name
399,399,399,SE11799C000,ULTRAMART,CP MANAGEMENT SERVICES PRIVATE LIMITED,"80 TANAH MERAH COAST ROAD #01-02, CHANGI LODGE 2 S(498820)",1.32736602101872,104.004244172964,True,ChIJtS9kFFsj2jERznpx45DBuzE,420.0,3.7,0.002008118536368461,3.957282307041324,"ULTRAMART 80 TANAH MERAH COAST ROAD #01-02, CHANGI LODGE 2 S(498820)"
400,400,400,SE11947P000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"5 CHANGI BUSINESS PARK CENTRAL 1 #B1-08/11, CHANGI CITY POINT S(486038)",1.3343251596936,103.962389299537,True,ChIJCapLkNc82jER1TrCkK6Wpgo,467.0,4.2,0.0022328365630573128,3.958340793015573,"FAIRPRICE FINEST 5 CHANGI BUSINESS PARK CENTRAL 1 #B1-08/11, CHANGI CITY POINT S(486038)"
401,401,401,SE11D22K000,Mmmm!,WATER TIGER INVESTMENTS PTE. LTD.,"5 CHANGI BUSINESS PARK CENTRAL 1 #B1-23, CHANGI CITY POINT S(486038)",1.3343251596936,103.962389299537,True,ChIJYdogBO4P2jERMQ2mRMrVspg,36.0,3.9,0.00017212444597443951,3.9577900512070228,"Mmmm! 5 CHANGI BUSINESS PARK CENTRAL 1 #B1-23, CHANGI CITY POINT S(486038)"
402,402,402,SE12D97J000,New Zealand Fresh,NEW ZEALAND FRESH PTE. LTD.,"201 TELOK KURAU ROAD #01-05, S(423910)",1.31212247482399,103.911185983674,True,ChIJR-RhS6MX2jER2yuH5Zb8njE,15.0,5.0,7.171851915601647e-05,3.9578747450406646,"New Zealand Fresh 201 TELOK KURAU ROAD #01-05, S(423910)"
403,403,403,SE12F88V000,SARATHI STORE,SARATHI STORES PTE. LTD.,"91 UPPER PAYA LEBAR ROAD, S(534821)",1.33748492906751,103.887004163685,True,ChIJwyvFsN0X2jERBMhwDu0vp9k,3.0,4.7,1.4343703831203293e-05,3.9578106458969837,"SARATHI STORE 91 UPPER PAYA LEBAR ROAD, S(534821)"
404,404,404,SE12G19X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"8 CHANGI BUSINESS PARK AVENUE 1, UE BIZHUB EAST S(486018) #01-51 & #02-51",1.33482754707221,103.963943942215,True,ChIJBeQeedc82jERKOSEt_4txsI,2126.0,4.4,0.010164904781712733,3.9622949208944735,"FAIRPRICE 8 CHANGI BUSINESS PARK AVENUE 1, UE BIZHUB EAST S(486018) #01-51 & #02-51"
405,405,405,SE13135L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"311 NEW UPPER CHANGI ROAD #B2-60, BEDOK MALL S(467360)",1.3247936058839,103.929360375114,True,ChIJxUOYG7Mi2jERXAvFIJ8W2pM,1017.0,4.3,0.0048625155987779166,3.959463952837902,"FAIRPRICE 311 NEW UPPER CHANGI ROAD #B2-60, BEDOK MALL S(467360)"
406,406,406,SE13S71X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"57 NEW UPPER CHANGI ROAD #01-1334, S(461057)",1.32425201243512,103.941571885143,True,ChIJ5-yYEcsi2jERkzNohBuXwi8,492.0,3.9,0.00235236742831734,3.9576640331626436,"FAIRPRICE 57 NEW UPPER CHANGI ROAD #01-1334, S(461057)"
407,407,407,SE13S89V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"2 FIRST STREET #01-05-16, SIGLAP V S(458278)",1.31275329709404,103.923657863473,True,ChIJPZ5eUkEEBBARzW5_KYr-Mik,457.0,4.2,0.0021850242169533015,3.9583292128653462,"COLD STORAGE 2 FIRST STREET #01-05-16, SIGLAP V S(458278)"
408,408,408,SE13U91V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 EAST COAST ROAD #01-06-09, VILLAGE HOTEL KATONG S(428751)",1.30385030375719,103.902850370889,True,ChIJJS1BdXIY2jER9bi-vFQcE6Q,463.0,4.3,0.0022137116246157083,3.958557532117944,"FAIRPRICE 30 EAST COAST ROAD #01-06-09, VILLAGE HOTEL KATONG S(428751)"
