,ID,Category,Name,coordinates,Pri_Popularity_Score,long,lat,google_place_id,num_ratings,avg_rating,W,weighted_rating
30,229,Primary School,PRINCESS ELIZABETH PRIMARY SCHOOL,"103.740307576571,1.34942618948433",4.5,103.740307576571,1.34942618948433,ChIJXb_6yjwQ2jERGSLzODqeFrw,31.0,4.4,0.004824151882975412,4.265563964377174
31,263,Primary School,SHUQUN PRIMARY SCHOOL,"103.721459527674,1.34760285244673",4.5,103.721459527674,1.34760285244673,ChIJq6mmlt0P2jERJZ3FUoWjJWU,30.0,4.1,0.004668534080298786,4.264142382099038
32,316,Primary School,WEST SPRING PRIMARY SCHOOL,"103.766195711835,1.38944145898943",4.5,103.766195711835,1.38944145898943,ChIJ4RSmS5oR2jERZiQkOAhBLmQ,30.0,3.9,0.004668534080298786,4.2632086752829785
33,248,Primary School,RIVER VALLEY PRIMARY SCHOOL,"103.836018941571,1.29418347842837",4.5,103.836018941571,1.29418347842837,ChIJN0U4f5sZ2jERvMJyLZdur2s,41.0,4.2,0.006380329909741674,4.264498118935683
34,8,Primary School,ANDERSON PRIMARY SCHOOL,"103.841392081119,1.38426429436736",4.5,103.841392081119,1.38426429436736,ChIJESsvBb8W2jERMTcyzgugKPc,37.0,3.8,0.005757858699035169,4.262235381482027
35,68,Primary School,CHONGZHENG PRIMARY SCHOOL,"103.951399541868,1.35070739237744",4.5,103.951399541868,1.35070739237744,ChIJf0D6Rho92jERFHDhhPZp410,34.0,4.7,0.005291005291005291,4.267214332126612
36,131,Primary School,HOLY INNOCENTS' PRIMARY SCHOOL,"103.89424605689,1.36700366732013",4.5,103.89424605689,1.36700366732013,ChIJac8oOvAW2jERTa3TBXSRrts,26.0,3.9,0.0040460628695922814,4.2634358226721485
37,214,Primary School,PASIR RIS PRIMARY SCHOOL,"103.962922699031,1.37245132722087",4.0,103.962922699031,1.37245132722087,ChIJ3QRrfU082jER0DHKdROAYzM,25.0,4.6,0.003890445066915655,4.266215921066283
38,201,Primary School,NORTHLAND PRIMARY SCHOOL,"103.840792923345,1.42130404159807",4.0,103.840792923345,1.42130404159807,ChIJLcQPMGsU2jEREShAHns1T3U,55.0,4.3,0.008558979147214442,4.265212595759551
39,61,Primary School,CHIJ PRIMARY (TOA PAYOH),"103.841847268953,1.33275263726147",4.0,103.841847268953,1.33275263726147,ChIJW-5RIkIX2jERgfjuFHoaZBE,29.0,4.8,0.00451291627762216,4.2673270867801305
40,164,Primary School,MAHA BODHI SCHOOL,"103.901298737314,1.32847086658384",4.0,103.901298737314,1.32847086658384,ChIJndsDefcX2jERpQWfx_rmDGE,57.0,4.4,0.008870214752567693,4.266110537782364
41,277,Primary School,ST. ANTHONY'S PRIMARY SCHOOL,"103.749251925758,1.36416126483168",4.0,103.749251925758,1.36416126483168,ChIJKwcIgW4Q2jERCXfOGe86lfk,26.0,4.5,0.0040460628695922814,4.265863460393904
42,166,Primary School,MARIS STELLA HIGH SCHOOL,"103.877852484979,1.34139473351039",4.0,103.877852484979,1.34139473351039,ChIJTU9ZuJkX2jERup6pD3ylnCY,84.0,3.9,0.013071895424836602,4.260142185529182
43,231,Primary School,PUNGGOL GREEN PRIMARY SCHOOL,"103.898794262307,1.40172590450528",4.0,103.898794262307,1.40172590450528,ChIJcVLedeIV2jERvXfYPZ4-S40,38.0,4.5,0.005913476501711796,4.266302466405665
44,249,Primary School,RIVERSIDE PRIMARY SCHOOL,"103.801889031334,1.44700426493785",4.0,103.801889031334,1.44700426493785,ChIJifFLX3IT2jEREBVpqrNnnss,27.0,4.6,0.004201680672268907,4.266320212295444
45,1,Primary School,ADMIRALTY PRIMARY SCHOOL,"103.800040119743,1.4426347903311",4.0,103.800040119743,1.4426347903311,ChIJ1WgXlHQT2jERmHpiii9mIiY,51.0,4.4,0.007936507936507936,4.26598440545809
46,43,Primary School,CANBERRA PRIMARY SCHOOL,"103.815858858929,1.45125024371543",4.0,103.815858858929,1.45125024371543,ChIJgTDrgGQT2jER-UjnLTru-ks,24.0,4.6,0.003734827264239029,4.266163775451701
47,283,Primary School,ST. JOSEPH'S INSTITUTION JUNIOR,"103.845633334522,1.31781476118551",4.0,103.845633334522,1.31781476118551,ChIJldf5_yoY2jER8_Pr_D0Sj0s,36.0,4.5,0.0056022408963585435,4.266229298737039
48,182,Primary School,NAN CHIAU PRIMARY SCHOOL,"103.891180928186,1.39221149906592",4.0,103.891180928186,1.39221149906592,ChIJtwM9qnIW2jERo4GosxkTgGE,54.0,4.1,0.008403361344537815,4.2635264632168655
49,146,Primary School,JURONG PRIMARY SCHOOL,"103.732953394774,1.3486127256626",4.0,103.732953394774,1.3486127256626,ChIJd4xooCEQ2jERifojA0epL4w,27.0,4.2,0.004201680672268907,4.264639540026536
50,207,Primary School,OASIS PRIMARY SCHOOL,"103.911120600638,1.40462413200793",4.0,103.911120600638,1.40462413200793,ChIJYU2m3f4V2jERaulmckh3k2A,31.0,4.2,0.004824151882975412,4.264599134000579
51,331,Primary School,XINMIN PRIMARY SCHOOL,"103.883080767491,1.37139548941931",4.0,103.883080767491,1.37139548941931,ChIJycJ7Bk8W2jERcg4rb-TY3ZQ,36.0,4.1,0.0056022408963585435,4.263988402378495
52,133,Primary School,HORIZON PRIMARY SCHOOL,"103.913404855665,1.399550034492",4.0,103.913404855665,1.399550034492,ChIJg-vjPwAW2jERvehflQPd39c,54.0,4.1,0.008403361344537815,4.2635264632168655
53,39,Primary School,BUKIT PANJANG PRIMARY SCHOOL,"103.769374904025,1.37362179302436",4.0,103.769374904025,1.37362179302436,ChIJLYS9rqgR2jERu6jj_I969Gw,30.0,4.4,0.004668534080298786,4.265542942323128
55,241,Primary School,RAFFLES GIRLS' PRIMARY SCHOOL,"103.806397828938,1.33004178068277",3.5,103.806397828938,1.33004178068277,ChIJ4xur9KYQ2jERlbDlNmIrpBI,39.0,4.6,0.006069094304388422,4.266945959670418
56,173,Primary School,MEE TOH SCHOOL,"103.908589494228,1.3946184538592",3.5,103.908589494228,1.3946184538592,ChIJu5S2iAMW2jERqXyv3Rg4EyU,69.0,3.5,0.010737628384687208,4.256698936884695
57,227,Primary School,POI CHING SCHOOL,"103.935246486174,1.35765121877679",3.5,103.935246486174,1.35765121877679,ChIJvbVTbXM92jERwHVUMr-hnbU,40.0,4.6,0.006224712107065048,4.266998105284999
59,313,Primary School,WATERWAY PRIMARY SCHOOL,"103.918585924582,1.39889261226315",3.5,103.918585924582,1.39889261226315,ChIJOVqQXf492jERujvVdlTZywA,81.0,4.8,0.012605042016806723,4.271657083886185
