,index,licence_numbers,business_name,name_of_license,premise_address,lat,long,isLatLongAvailable
543,543,SW14951X000,WAREHOUSE CLUB,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JOO KOON CIRCLE #03-21, FAIRPRICE HUB S(629117)",1.32561764102293,103.678410551563,True
544,544,SW14A33P000,VINAYAK TRADERS,VINAYAK TRADERS PTE. LTD.,"27 PENJURU WALK #01-08/09, PENJURU RECREATION CENTRE S(608538)",1.31865728379443,103.733152140767,True
545,545,SW14A98C000,Gurus Supermarket,GURU'S MARKETING PTE. LTD.,"27 PENJURU WALK #01-15, PENJURU RECREATION CENTRE S(608538)",1.31865728379443,103.733152140767,True
546,546,SW15051V000,archana,ARCHANA PROVISION STORES PTE. LTD.,"27 PENJURU WALK #01-06/07, PENJURU RECREATION CENTRE S(608538)",1.31865728379443,103.733152140767,True
547,547,SW15681P000,NSP SUPER MART,NPS IMPEX PTE. LTD.,"21 TUAS VIEW SQUARE, (PART OF) S(637640) (PART OF)",1.29891712474996,103.627532390173,True
548,548,SW15796X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"533 CHOA CHU KANG STREET 51 #01-11, LIMBANG SHOPPING CENTRE (HDB) S(680533)",1.3920738867617,103.743099573442,True
549,549,SW15968N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"37 TEBAN GARDENS ROAD, #01-304/305/306 S(600037) #01-304/305/306",1.32052026841644,103.742651512921,True
550,550,SW15D03B000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"50 NANYANG AVENUE #NS3-01-27,#NS3-01-28,#NS3-01-26, NORTH SPINE , NTU S(639798)",1.34421841586272,103.680152218583,True
551,551,SW16126J000,TUAS SOUTH MINIMART,TUAS SOUTH MINIMART PTE. LTD.,"6 TUAS SOUTH STREET 15 #01-102,#01-109,#01-110,#01-111, CDPL (TUAS) DORMITORY S(636906)",1.27269381942258,103.637262607502,True
552,552,SW16224E000,NAWAS GLOBAL,NAWAS GLOBAL PTE. LTD.,"3 TUAS SOUTH STREET 12 #01-16, TUAS SOUTH DORMITORY S(636947)",1.27164225840049,103.63351227878,True
553,553,SW16735N000,-,GURU'S MARKETING PTE. LTD.,"1 JALAN PAPAN #01-32,#01-31, S(619392)",1.32110826353586,103.72732504563,True
554,554,SW16814X000,VINAYAK TRADERS,VINAYAK TRADERS PTE. LTD.,"1 JALAN PAPAN #01-33,#01-34, S(619392)",1.32110826353586,103.72732504563,True
555,555,SW16815P000,-,PHAN NEE INVESTMENTS (S) PTE. LTD.,"500 OLD CHOA CHU KANG ROAD #01-02, S(698928)",1.37193281298228,103.720857409391,True
556,556,SW16901A000,SADIA SUPERMARKET & TRADING,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,"12 TUAS SOUTH STREET 13 #01-20/21, S(636937)",1.27030977810151,103.634163905611,True
557,557,SW16921N000,CHENNAI TRADING & SUPERMARKET,CHENNAI TRADING & SUPERMART PTE. LTD.,"1 JALAN PAPAN #01-35,#01-36, S(619392)",1.32110826353586,103.72732504563,True
558,558,SW16942C000,POPULAR SUPERMARKET,POPULAR SUPERMARKET PTE. LTD.,"12 TUAS SOUTH STREET 13 #01-18/19, S(636937)",1.27030977810151,103.634163905611,True
559,559,SW16B52K000,AJMAL TRADING GROUP,AJMAL  TRADING GROUP PTE. LTD.,"5 JALAN PAPAN #01-32, ASPRI-WESTLITE PAPAN S(619396)",1.32207201524401,103.727545771811,True
560,560,SW16D52V000,U Stars Supermarket,U STARS PTE. LTD.,"810 CHOA CHU KANG AVENUE 7 #01-01, MULTI STOREY CAR PARK S(680810)",1.3740546176425,103.746160942106,True
561,561,SW16D83E000,FAIRPRICE SHOP,NTUC FAIRPRICE CO-OPERATIVE LTD,"249 JURONG EAST STREET 24 #01-106, S(600249)",1.3425624237397,103.739259690913,True
562,562,SW16E98J000,PHANNEE SUPERMART,PHAN NEE INVESTMENTS (S) PTE. LTD.,"500 OLD CHOA CHU KANG ROAD #01-21, S(698924)",1.37761084648511,103.718403750945,True
563,563,SW16H70N000,MALAR MARKETING,MALAR MARKETING PTE. LTD.,"69 TUAS SOUTH AVENUE 1 #01-02, SEATOWN INDUSTRIAL CENTRE S(637589)",1.31335079454993,103.627473853217,True
564,564,SW17592A000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"50 JURONG GATEWAY ROAD #B1-43,#B1-44, JEM S(608549)",1.3325523295069,103.743262234833,True
565,565,SW17728C000,U STARS MEGAMART,U STARS PTE. LTD.,"817 KEAT HONG LINK #01-14, MULTI STOREY CAR PARK S(680817)",1.37754385007462,103.749700036701,True
566,566,SW17E56V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 FUSIONOPOLIS WAY #B2-03, CONNEXIS S(138632)",1.29943736719293,103.787576666868,True
567,567,SW18581V000,THE QUALITYMART DEPOT,THE QUALITYMART DEPOT PTE. LTD.,"180 DEPOT ROAD #01-04, INTERLACE, THE S(109684)",1.28220135422008,103.803023756097,True
568,568,SW18715E000,SEOUL BUTCHERY,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",1.34207496392367,103.774632794309,True
569,569,SW18A30L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"440 BUKIT BATOK WEST AVENUE 8 #01-10, MULTI STOREY CAR PARK S(650440)",1.35572308109486,103.739303105372,True
570,570,SW18A40J000,GIANT EXPRESS,COLD STORAGE SINGAPORE (1983) PTE LTD,"35 STUDENTS WALK, NTU CANTEEN 2 S(639548)",1.34842266576961,103.685434201207,True
571,571,SW18B79P000,-,MURUGAN TRADERS PTE. LTD.,"9 TRACTOR ROAD, S(627970)",1.32447647411575,103.705852113344,True
572,572,SW18F69X000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"451 BUKIT BATOK WEST AVENUE 6 #01-10, MULTI STOREY CAR PARK S(650451)",1.35303717968525,103.743942567711,True
573,573,SW19707V000,BALU SUPERMARKET,BALU SUPER MARKET PTE. LTD.,"14 TUAS AVENUE 1 #01-01, JTC SPACE @ TUAS S(639499)",1.32148166449156,103.660952805443,True
574,574,SW19869J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"292 BUKIT BATOK EAST AVENUE 6 #01-02, MULTI STOREY CAR PARK S(650292)",1.34447136304156,103.755394615486,True
575,575,SW19934B000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"1 HARBOURFRONT WALK #B2-23A, VIVO CITY S(098585)",1.26430476483158,103.822308649643,True
576,576,SW19A15B000,NIHI MINI MART,NIHI PTE. LTD.,"8 TECH PARK CRESCENT #01-00, S(638124)",1.31097333406367,103.629405094456,True
577,577,SW19G50C000,LAMIAH MINIMART,LAMIAH ENTERPRISE PTE. LTD.,"40 TUAS VIEW SQUARE #01-03, LANDBASE INDUSTRIAL BUILDING S(637779)",1.30047659570156,103.628812327397,True
578,578,W02065N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"101 THOMSON ROAD #B1-52, UNITED SQUARE S(307591)",1.31719450988559,103.843611443038,True
579,579,W02066L000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"211 HOLLAND AVENUE #01-05, HOLLAND ROAD SHOPPING CENTRE S(278967)",1.31025542158588,103.795350441035,True
580,580,W02068J000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 KIM SENG PROMENADE #B1-139,#B1-140,#B1-141, GREAT WORLD CITY S(237994)",1.2934759620704,103.831975865363,True
581,581,W02070V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"290 ORCHARD ROAD #B1-14/15, THE PARAGON S(238859)",1.30372322368856,103.83524031199,True
582,582,W02071X000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"391A ORCHARD ROAD #B2-01, NGEE ANN CITY TOWER A S(238873)",1.30242417189411,103.834676124723,True
583,583,W02072P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"302 TIONG BAHRU ROAD #B1-01, TIONG BAHRU PLAZA S(168732)",1.28644021678218,103.827450721571,True
584,584,W02073N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"163 TANGLIN ROAD #B1-02/03, TANGLIN MALL S(247933)",1.30485342102105,103.823883490852,True
585,585,W02074L000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"238 THOMSON ROAD #01-27,#01-28,#01-29,#01-30,#01-82,#01-83, NOVENA SQUARE S(307683)",1.31996748439185,103.843850630993,True
586,586,W02075K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"230 VICTORIA STREET #B1-16, BUGIS JUNCTION S(188024)",1.29981639897451,103.855923558787,True
587,587,W02076J000,fish supplier,HONG HENG SENG,"5 BANDA STREET #03-92, S(050005)",1.28119737026913,103.843437320613,True
588,588,W02078C000,ISETAN,ISETAN (SINGAPORE) LIMITED,"350 ORCHARD ROAD #B1-00, SHAW HOUSE S(238868)",1.30580981580562,103.831507365654,True
589,589,W02080P000,Market Place,COLD STORAGE SINGAPORE (1983) PTE LTD,"252 NORTH BRIDGE ROAD #B1-01, RAFFLES CITY SHOPPING CENTRE S(179103)",1.29376028134073,103.852768324281,True
590,590,W02081N000,thai supermarket,Loh Nyen Yiu,"5001 BEACH ROAD #02-64, GOLDEN MILE COMPLEX S(199588)",1.3027712050447,103.865172134495,True
591,591,W02083K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"166 BUKIT MERAH CENTRAL #01-3527, BUKIT MERAH AREA OFFICE S(150166) 02-3531",1.28311949906492,103.817642868766,True
592,592,W02086C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"50 HAVELOCK ROAD #01-755, S(160050)",1.28977813992267,103.826793758887,True
593,593,W02088A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"68 ORCHARD ROAD #B2-15/16, PLAZA SINGAPURA S(238839)",1.30082071769235,103.845067272938,True
594,594,W02092J000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"5 TANJONG PAGAR PLAZA #01-01, S(081005)",1.27624052001347,103.843006115698,True
595,595,W02096A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"81 CLEMENCEAU AVENUE #02-18, S(239917)",1.29216191000465,103.842702921783,True
596,596,W02100V000,-,NG CHAI SENG,"109 BUKIT PURMEI ROAD #01-155, S(090109)",1.27392939929265,103.825310761145,True
597,597,W02140C000,HAO MART,HAO MART PTE. LTD.,"200 TURF CLUB ROAD #01-01, THE GRANDSTAND S(287994)",1.33879673523931,103.793256122847,True
598,598,W02239E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"131 KILLINEY ROAD #01-01,02, ORCHARD GRAND COURT S(239571)",1.29727531417916,103.838533924757,True
599,599,W02332N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"52 CHIN SWEE ROAD #01-25, S(160052)",1.28708278284998,103.841580109275,True
600,600,W02430L000,THE FISHWIVES,THE FISHWIVES PTE. LTD.,"501 BUKIT TIMAH ROAD #01-05B, CLUNY COURT S(259760) (PART OF)",1.32257316934913,103.814245542255,True
601,601,W03142N000,Mustafa Singapore,MUSTAFA HOLDINGS PTE LTD,"147 SYED ALWI ROAD, S(207706)",1.30975299910627,103.855701473372,True
602,602,W70029L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"170 STIRLING ROAD #01-1147, S(140170)",1.29091128182876,103.803120797076,True
603,603,W72014K000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"86 REDHILL CLOSE #01-610, S(150086)",1.2869200622963,103.818673592235,True
604,604,W74072X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"8 TELOK BLANGAH CRESCENT #01-171, S(090008)",1.27779539068994,103.819341303524,True
605,605,W89166E000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"176 ORCHARD ROAD #B1-09/11, CENTREPOINT SHOPPING COMPLEX S(238843)",1.30145045537088,103.840034074858,True
606,606,W90084A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"133 NEW BRIDGE ROAD #B1-01, CHINATOWN POINT S(059413)",1.28518516098542,103.844942912274,True
